fund_id,name,name_cn,portfolio_value,num_holdings,latest_period
AKO,AKO Capital,AKO资本,4292009000.0,22,2026-Q2
AP,AltaRock Partners,AltaRock Partners,4239761000.0,8,2026-Q2
CAS,Clifford Sosin - CAS Investment Partners,CAS投资 (Clifford Sosin),1883136000.0,6,2026-Q2
FPACX,Steven Romick - FPA Crescent Fund,FPA新月基金 (Steven Romick),7108450000.0,65,2025-Q4
FPPTX,FPA Queens Road Small Cap Value Fund,FPA皇后路小盘价值基金,952239000.0,46,2025-Q4
FS,Terry Smith - Fundsmith,Fundsmith (Terry Smith),13648927000.0,41,2026-Q2
MPGFX,Mairs & Power Growth Fund,Mairs & Power增长基金,5523625000.0,46,2025-Q4
tci,Chris Hohn - TCI Fund Management,TCI基金 (Chris Hohn),52769886000.0,11,2026-Q2
T,Torray Funds,Torray基金,673358000.0,88,2026-Q2
VA,ValueAct Capital,ValueAct资本,5634931000.0,18,2026-Q2
abc,David Abrams - Abrams Capital Management,亚伯拉罕资本 (David Abrams),5479746000.0,11,2026-Q2
ic,Carl Icahn - Icahn Capital Management,伊坎资本 (Carl Icahn),8264090000.0,12,2026-Q2
BRK,Warren Buffett - Berkshire Hathaway,伯克希尔·哈撒韦 (Warren Buffett),299253558000.0,29,2026-Q2
fairx,Bruce Berkowitz - Fairholme Capital,公平港资本 (Bruce Berkowitz),1489886000.0,13,2026-Q2
GR,Thomas Russo - Gardner Russo & Quinn,加德纳-鲁索 (Thomas Russo),8925889000.0,84,2026-Q2
CCM,Glenn Greenberg - Brave Warrior Advisors,勇武顾问 (Glenn Greenberg),4588428000.0,40,2026-Q2
KB,Kahn Brothers Group,卡恩兄弟,632676000.0,47,2026-Q2
GC,Francois Rochon - Giverny Capital,吉维尼资本 (Francois Rochon),2974321000.0,51,2026-Q2
ca,Francis Chou - Chou Associates,周氏资本 (Francis Chou),216592000.0,31,2026-Q2
HC,Li Lu - Himalaya Capital Management,喜马拉雅资本 (李录),3702920000.0,8,2026-Q2
cc,William Von Mueffling - Cantillon Capital,坎蒂隆资本 (William Von Mueffling),665115000.0,27,2026-Q2
EC,John Armitage - Egerton Capital,埃格顿资本 (John Armitage),10351358000.0,23,2026-Q2
SA,Christopher Bloomstran - Semper Augustus,塞珀奥古斯都 (Christopher Bloomstran),884605000.0,50,2026-Q2
DA,Pat Dorsey - Dorsey Asset Management,多尔西资管 (Pat Dorsey),1561409000.0,11,2026-Q2
