ticker,issuer,portfolio_pct,shares,value,reported_price,activity
AMZN,Amazon.com Inc.,15.16,4320000,899726000.0,208.27,Add 98.22%
MU,Micron Technology Inc.,9.48,1665000,562504000.0,337.84,Add 11.00%
GOOG,Alphabet Inc. CL C,8.38,1732700,497042000.0,286.86,Reduce 3.03%
UBER,Uber Technologies Inc.,7.68,6332720,455513000.0,71.93,Add 242.31%
TSM,Taiwan Semiconductor S.A.,7.56,1327500,448629000.0,337.95,Add 17.48%
BABA,Alibaba Group Holdings,7.33,3465000,434719000.0,125.46,Reduce 32.56%
VST,Vistra Corp.,5.12,2022332,304017000.0,150.33,Add 114.00%
EWY,iShares MSCI South Korea ETF,4.98,2400000,295224000.0,123.01,Add 28.00%
NVDA,NVIDIA Corp.,4.33,1471500,256630000.0,174.4,Reduce 13.44%
NRG,NRG Energy Inc.,4.27,1734442,253471000.0,146.14,Add 5.76%
META,Meta Platforms Inc.,4.21,436500,249735000.0,572.13,Reduce 27.25%
SNDK,SanDisk Corp.,3.01,281250,178689000.0,635.34,Buy
GLW,Corning Inc.,2.59,1129500,153578000.0,135.97,Reduce 28.07%
WHR,Whirlpool Corp.,1.77,1950000,105144000.0,53.92,Reduce 50.13%
PDD,Pinduoduo Inc.,1.55,900000,91962000.0,102.18,Reduce 49.30%
LRCX,Lam Research,1.38,382500,81725000.0,213.66,Reduce 10.00%
BIDU,Baidu Inc.,1.3,692100,77114000.0,111.42,Add 20.37%
LHX,L3Harris Technologies Inc.,1.15,198000,68340000.0,345.15,Reduce 32.88%
RTX,RTX Corp.,1.11,342000,65972000.0,192.9,Reduce 31.60%
ASML,ASML Holding NV,1.1,49500,65381000.0,1320.83,Reduce 20.80%
QCOM,QUALCOMM Inc.,1.08,498613,64211000.0,128.78,Reduce 56.45%
BALL,Ball Corp.,0.83,837000,49475000.0,59.11,Reduce 30.25%
AMD,Advanced Micro Devices,0.76,221400,45039000.0,203.43,Reduce 31.88%
JD,JD.com Inc.,0.65,1305000,38589000.0,29.57,Reduce 68.61%
LYFT,Lyft Inc.,0.61,2700000,35910000.0,13.3,Reduce 28.95%
MSFT,Microsoft Corp.,0.56,90000,33315000.0,370.17,Reduce 82.00%
KWEB,Kraneshares Csi China Intern,0.52,1080000,30704000.0,28.43,Reduce 77.26%
ET,Energy Transfer LP,0.51,1576125,30419000.0,19.3,Reduce 28.07%
MPLX,MPLX LP,0.48,502460,28675000.0,57.07,Reduce 19.93%
UNH,United Health Group Inc.,0.41,90000,24353000.0,270.59,Reduce 55.00%
DB,Deutsche Bank AG,0.13,257616,7672000.0,29.78,Reduce 91.82%
