ticker,issuer,portfolio_pct,shares,value,reported_price,activity
CRL,Charles River Labs,4.35,192824,38465000.0,199.48,Add 1.79%
MSGE,Madison Square Garden Entertainment Corp.,3.95,648775,34962000.0,53.89,Reduce 3.96%
MAT,Mattel Inc.,3.36,1498598,29732000.0,19.84,Reduce 7.59%
NCLH,Norwegian Cruise Line Hlgs Ltd.,3.33,1321822,29503000.0,22.32,Add 7.68%
MIDD,Middleby Corp.,3.14,186941,27793000.0,148.67,Add 13.08%
OMC,Omnicom Group,3.1,339963,27452000.0,80.75,Buy
GNRC,Generac Holdings Inc.,2.96,191725,26146000.0,136.37,Add 1.17%
FAF,First Amer'n Corp.,2.9,418198,25694000.0,61.44,
BIO,Bio-Rad Laboratories Inc.,2.87,83756,25377000.0,302.99,Reduce 6.77%
KEYS,Keysight Technologies Inc.,2.84,123545,25103000.0,203.19,
LH,Labcorp Holdings Inc.,2.84,100026,25095000.0,250.88,
MSGS,Madison Square Garden Sports Corp.,2.84,97166,25132000.0,258.65,
NVST,Envista Holdings Corp.,2.82,1150573,24979000.0,21.71,
KN,Knowles Corp.,2.75,1135163,24327000.0,21.43,Reduce 3.42%
CLB,Core Laboratories Inc.,2.74,1513465,24261000.0,16.03,
LAZ,Lazard Inc.,2.74,500130,24286000.0,48.56,Add 8.34%
PBH,Prestige Consumer Healthcare,2.64,379209,23393000.0,61.69,Add 30.42%
CG,Carlyle Group,2.63,394133,23297000.0,59.11,Reduce 8.54%
SLB,Schlumberger Ltd.,2.63,606602,23281000.0,38.38,
AXTA,Axalta Coating Systems Ltd.,2.6,711354,22984000.0,32.31,Add 21.40%
JLL,Jones Lang Lasalle Inc.,2.54,66783,22470000.0,336.46,Reduce 18.11%
SPHR,Sphere Entertainment Co.,2.54,236705,22506000.0,95.08,Reduce 52.09%
OSW,OneSpaWorld Holdings Ltd,2.53,1080447,22408000.0,20.74,Add 4.03%
NTRS,Northern Trust Corp.,2.42,156598,21390000.0,136.59,
BOKF,BOK Financial Corp.,2.38,177693,21050000.0,118.46,Reduce 9.52%
GNTX,Gentex Corp.,2.23,848245,19739000.0,23.27,
SCHW,Charles Schwab Corp.,2.19,193841,19367000.0,99.91,
KKR,KKR & Co. L.P.,2.14,148809,18970000.0,127.48,Add 5.15%
SWK,Stanley Black & Decker Inc.,2.06,245677,18249000.0,74.28,
CBRE,CBRE Group,1.83,100951,16232000.0,160.79,Reduce 12.05%
REZI,Resideo Technologies Inc.,1.82,459422,16135000.0,35.12,Reduce 13.36%
NVT,nVent Electric plc,1.79,155669,15874000.0,101.97,Reduce 28.49%
ADT,ADT Inc.,1.72,1881141,15181000.0,8.07,
MANU,Manchester United plc,1.69,938949,14948000.0,15.92,Add 6.27%
SJM,J.M. Smucker Co,1.69,152747,14940000.0,97.81,Add 13.05%
TAP,Molson Coors Beverage Co.,1.66,314144,14664000.0,46.68,Add 13.86%
LFUS,Littelfuse Inc.,1.46,51029,12906000.0,252.92,
AFL,AFLAC Inc.,1.44,115387,12724000.0,110.27,
KMX,CarMax Inc.,1.41,323429,12497000.0,38.64,
FISV,Fiserv Inc.,1.07,140425,9432000.0,67.17,Add 4.84%
FDS,FactSet Research Systems,0.85,25777,7480000.0,290.18,Buy
KMT,Kennametal Inc.,0.49,152755,4340000.0,28.41,Reduce 59.13%
