ticker,issuer,portfolio_pct,shares,value,reported_price,activity
AZN,AstraZeneca PLC,19.03,9357390,1751546000.0,187.18,Add 26.08%
CCL,Carnival Corp.,12.78,41190606,1176816000.0,28.57,Add 11.04%
DB,Deutsche Bank AG,10.8,29358318,994164000.0,33.86,Add 17.61%
SW,Smurfit Westrock Plc,7.56,15039041,695706000.0,46.26,Reduce 3.39%
CP,Canadian Pacific Kansas City,6.32,6711483,581661000.0,86.67,Reduce 23.67%
TSM,Taiwan Semiconductor S.A.,2.76,532052,254092000.0,477.57,Add 4.64%
ALK,Alaska Air Group,1.8,3183163,166161000.0,52.2,Add 27.21%
CARR,Carrier Global Corp.,1.74,2178506,159793000.0,73.35,Add 3.60%
LYV,Live Nation Inc.,1.4,706301,129331000.0,183.11,Add 34.17%
MRK,Merck & Co.,1.33,954932,122709000.0,128.5,Add 11.79%
META,Meta Platforms Inc.,1.23,201459,113480000.0,563.29,Add 39.13%
GOOG,Alphabet Inc. CL C,1.21,316217,111729000.0,353.33,Reduce 6.25%
BCS,Barclays plc ADR,1.16,3975718,106788000.0,26.86,Reduce 2.41%
BAP,Credicorp Ltd.,1.08,255436,99513000.0,389.58,Add 4.21%
SAP,SAP SE,1.05,629801,97059000.0,154.11,Add 38.11%
BABA,Alibaba Group Holdings,1.04,995040,95504000.0,95.98,Reduce 6.91%
AXS,Axis Capital Holdings Ltd.,1.0,859727,92369000.0,107.44,Add 5.39%
EG,Everest Group Ltd,0.98,252702,90273000.0,357.23,Add 1.08%
IR,Ingersoll Rand Inc.,0.92,1033693,84753000.0,81.99,Add 65.11%
PHG,Koninklijke Philips Electronics NV,0.9,3061962,83255000.0,27.19,Add 24.66%
NVO,Novo Nordisk A S,0.87,1677615,80425000.0,47.94,Add 42.87%
JLL,Jones Lang Lasalle Inc.,0.84,248252,76946000.0,309.95,Add 33.27%
CFG,Citizens Financial Group Inc.,0.82,1077093,75472000.0,70.07,Add 2.72%
NTES,NetEase.com Inc.,0.8,572412,73349000.0,128.14,Buy
DEO,Diageo ADR,0.78,899015,72263000.0,80.38,Add 34.92%
BA,Boeing Co.,0.74,313048,67765000.0,216.47,Reduce 0.28%
ZBH,Zimmer Biomet Holdings,0.74,788810,67909000.0,86.09,Reduce 2.39%
C,Citigroup Inc.,0.7,458858,64222000.0,139.96,Reduce 27.73%
NWG,NatWest Group Plc,0.67,3487290,61481000.0,17.63,Add 16.70%
BIIB,Biogen Inc.,0.65,278283,60126000.0,216.06,Reduce 0.89%
GFI,Gold Fields Ltd.,0.63,1713233,57547000.0,33.59,Add 4.84%
