ticker,issuer,portfolio_pct,shares,value,reported_price,activity
ASML,ASML Holding NV,17.89,192343,205780000.0,1069.86,Add 11.04%
DHR,Danaher Corp.,16.47,827520,189436000.0,228.92,Reduce 3.87%
AER,AerCap Holdings N.V.,15.18,1215059,174677000.0,143.76,Reduce 3.87%
META,Meta Platforms Inc.,9.21,160450,105911000.0,660.09,Reduce 16.53%
BKNG,Booking Holdings Inc.,7.6,407925,87383000.0,214.21,Reduce 3.88%
RPRX,Royalty Pharma plc,7.59,2259469,87306000.0,38.64,Reduce 3.87%
LYV,Live Nation Inc.,7.47,602973,85924000.0,142.5,Buy
AZO,AutoZone Inc.,7.41,25121,85198000.0,3391.51,Reduce 15.92%
GOOG,Alphabet Inc. CL C,5.92,216906,68065000.0,313.8,Reduce 49.48%
ENOV,Enovis Corp.,5.28,2279200,60718000.0,26.64,Reduce 5.01%
