ticker,issuer,portfolio_pct,shares,value,reported_price,activity
COF,Capital One Financial,7.15,8539736,1557906000.0,182.43,Reduce 0.87%
CTRA,OLD- Coterra Energy Inc.,5.99,37119404,1304376000.0,35.14,Add 14.08%
USB,U.S. Bancorp,5.31,22237960,1156597000.0,52.01,Add 0.89%
VTRS,Viatris Inc.,4.85,78211191,1056633000.0,13.51,Add 0.04%
META,Meta Platforms Inc.,4.52,1719156,983590000.0,572.14,Reduce 1.93%
MGM,MGM Resorts International,4.13,24295338,899171000.0,37.01,Reduce 9.41%
GOOGL,Alphabet Inc.,4.09,3094659,889903000.0,287.56,Reduce 0.77%
CVS,CVS Health Corp.,4.04,12239666,879054000.0,71.82,Reduce 4.08%
TSN,Tyson Foods,3.85,13090689,838721000.0,64.07,Add 2.05%
MKL,Markel Group Inc.,3.37,383433,733959000.0,1914.18,Reduce 7.64%
AMZN,Amazon.com Inc.,3.28,3425252,713380000.0,208.27,Reduce 0.12%
BRK.A,Berkshire Hathaway CL A,3.04,923,662843000.0,718139.76,Reduce 2.12%
WFC,Wells Fargo,2.99,8190871,652076000.0,79.61,Reduce 0.81%
CI,Cigna Group,2.74,2233929,595906000.0,266.75,Add 196.73%
TXN,Texas Instruments,2.54,2849671,553238000.0,194.14,Reduce 0.12%
TECK,Teck Resources,2.51,10584663,547757000.0,51.75,Reduce 11.94%
JBS,Jbs Nv A,2.16,26244660,471354000.0,17.96,Add 121.39%
LYB,LyondellBasell Industries,2.07,5596588,450862000.0,80.56,Buy
SOLV,Solventum Corp,1.9,6330325,413371000.0,65.3,Add 1.77%
AMAT,Applied Materials,1.88,1197102,409164000.0,341.8,Reduce 71.51%
CB,Chubb Limited,1.79,1195391,389618000.0,325.93,Add 0.74%
BRK.B,Berkshire Hathaway CL B,1.65,749846,359336000.0,479.21,Add 1.35%
UNH,United Health Group Inc.,1.55,1247476,337559000.0,270.59,Reduce 2.04%
TCOM,Trip.com Group Ltd,1.5,6555112,326379000.0,49.79,Add 29.72%
DGX,Quest Diagnostics,1.46,1617813,317062000.0,195.98,Add 1.76%
QSR,Restaurant Brands International,1.22,3599127,265976000.0,73.9,Reduce 10.49%
COP,ConocoPhillips,1.14,1875428,247558000.0,132.0,Add 4.31%
AGCO,AGCO Corp.,1.11,2086643,241781000.0,115.87,Add 1.85%
YMM,Full Truck Alliance  Spn ADR,1.1,28763191,238734000.0,8.3,Add 64.01%
OC,Owens Corning,1.04,2100935,227365000.0,108.22,Add 2.66%
PINS,Pinterest Inc.,1.04,12400101,227418000.0,18.34,Add 5.07%
GOOG,Alphabet Inc. CL C,0.89,677607,194380000.0,286.86,Reduce 4.69%
DUSA,Davis Select Us Equity ETF,0.79,3400745,172554000.0,50.74,Add 0.48%
JPM,JPMorgan Chase & Co.,0.75,556452,163686000.0,294.16,Reduce 2.65%
SE,Sea Ltd,0.7,1849831,153185000.0,82.81,Add 323.75%
APP,Applovin Corp.,0.61,335810,133655000.0,398.01,Add 35.42%
FITB,Fifth Third Bancorp,0.6,2813525,130716000.0,46.46,Add 2.52%
PNC,PNC Financial Services,0.52,541922,112769000.0,208.09,Add 2.23%
DINT,Davis Select International,0.48,3915748,105392000.0,26.91,Add 0.60%
WCC,WESCO International Inc.,0.48,381007,104252000.0,273.62,Add 4.53%
DFNL,Davis Select Financial ETF,0.44,2130666,95539000.0,44.84,Add 0.01%
