ticker,issuer,portfolio_pct,shares,value,reported_price,activity
RBC,RBC Bearings Inc.,10.7,1708921,1100648000.0,644.06,Reduce 24.90%
DASH,DoorDash Inc.,7.46,4154183,766571000.0,184.53,Reduce 2.85%
Q,Qnity Electronics Inc.,7.23,4553414,743618000.0,163.31,Reduce 10.51%
FERG,Ferguson Enterprises Inc.,6.88,2979735,707181000.0,237.33,Add 35.94%
MELI,Mercadolibre Inc.,5.1,308663,523921000.0,1697.39,Reduce 12.02%
APG,APi Group Corp.,5.0,12131313,513761000.0,42.35,Reduce 17.89%
XPO,XPO Logistics,4.84,2424919,497812000.0,205.29,Reduce 17.41%
CVNA,Carvana Co.,4.3,6720882,442368000.0,65.82,Add 34.99%
MAIR,Madison Air Solutions Corp A,3.87,10196486,397663000.0,39.0,Buy
TWLO,Twilio Inc.,3.7,1846153,380917000.0,206.33,Buy
AFRM,Affirm Holdings Inc.,3.51,4425406,360892000.0,81.55,Reduce 21.67%
FN,Fabrinet,3.3,603340,339125000.0,562.08,Add 178.72%
PRVA,Privia Health Group Inc.,2.91,11635948,299393000.0,25.73,Reduce 3.74%
ULS,Ul Solutions Inc   Class A,2.91,2937488,299213000.0,101.86,Reduce 10.76%
CRH,CRH plc,2.77,2665296,285187000.0,107.0,Add 80.36%
CLH,Clean Harbors Inc.,2.59,892405,266606000.0,298.75,Reduce 15.09%
SHOP,Shopify Inc.,2.59,2335694,266690000.0,114.18,Add 140.34%
RKT,Rocket Companies Inc.,2.53,16488238,259690000.0,15.75,Reduce 14.59%
VSEC,VSE Corp.,2.18,980310,224001000.0,228.5,Reduce 30.22%
FLS,Flowserve Corp.,2.1,2911004,215880000.0,74.16,Add 205.84%
FOUR,Shift4 Payments Inc. CL A,2.09,4423633,215166000.0,48.64,Reduce 28.26%
WRBY,Warby Parker Inc.,1.89,6396513,194070000.0,30.34,
OPCH,Option Care Health Inc.,1.26,6163722,129253000.0,20.97,Reduce 31.45%
MDLN,Medline Inc Cl A,1.01,2627321,103622000.0,39.44,Reduce 63.84%
XMTR,Xometry Inc.,0.95,1014976,97965000.0,96.52,Add 1731.92%
WIX,Wix.com Ltd.,0.9,2041688,92631000.0,45.37,
GSHD,Goosehead Insurance Inc.,0.87,1837151,89102000.0,48.5,Add 17.54%
AUR,Aurora Innovation Inc.,0.72,10889415,74266000.0,6.82,Add 632.78%
CPNG,Coupang Inc.,0.66,3881925,67429000.0,17.37,Reduce 69.83%
ANDG,Andersen Group Inc   A,0.61,1670485,63011000.0,37.72,
AIT,Applied Industrial Tech.,0.53,162070,54804000.0,338.15,Reduce 45.36%
ENTG,Entegris Inc.,0.51,293139,52724000.0,179.86,Reduce 69.83%
ROL,Rollins Inc.,0.47,1165673,48655000.0,41.74,Buy
AGL,Agilon Health Inc,0.46,440642,47228000.0,107.18,Buy
TECH,Bio-Techne Corp.,0.34,501963,35464000.0,70.65,Reduce 88.74%
AYI,Acuity Brands Inc.,0.25,68646,25856000.0,376.66,Reduce 80.70%
