ticker,issuer,portfolio_pct,shares,value,reported_price,activity
SCHW,Charles Schwab Corp.,4.44,52225135,5217813000.0,99.91,Reduce 8.88%
RTX,RTX Corp.,3.93,25204600,4622524000.0,183.4,Reduce 7.12%
JCI,Johnson Controls Intl. plc,3.02,29666817,3552601000.0,119.75,Reduce 7.79%
CVS,CVS Health Corp.,2.83,41853204,3321470000.0,79.36,Reduce 13.21%
FDX,FedEx Corp.,2.6,10559255,3050146000.0,288.86,Reduce 4.44%
MET,MetLife Inc.,2.57,38238918,3018580000.0,78.94,Reduce 2.57%
GOOGL,Alphabet Inc.,2.25,8460700,2648199000.0,313.0,Reduce 4.99%
TSM,Taiwan Semiconductor S.A.,2.14,51459000,2513946000.0,48.85,Reduce 1.80%
GSK,GSK plc,2.11,50557077,2479319000.0,49.04,Reduce 13.45%
GILD,Gilead Sciences,2.04,19505112,2394057000.0,122.74,Reduce 13.80%
REGN,Regeneron Pharmaceuticals,1.97,2994704,2311522000.0,771.87,Add 2.46%
META,Meta Platforms Inc.,1.96,3492200,2305166000.0,660.09,Add 28.28%
AMZN,Amazon.com Inc.,1.93,9834700,2270045000.0,230.82,Reduce 7.86%
CMCSA,Comcast Corp.,1.92,75418594,2254262000.0,29.89,
OXY,Occidental Petroleum,1.91,54696940,2249138000.0,41.12,
MSFT,Microsoft Corp.,1.89,4590300,2219961000.0,483.62,Reduce 6.52%
BK,Bank of New York Mellon Corp.,1.88,19000524,2205771000.0,116.09,Reduce 27.82%
FIS,Fidelity National Information Services,1.88,33304400,2213410000.0,66.46,Add 14.81%
WFC,Wells Fargo,1.83,23048541,2148124000.0,93.2,Reduce 17.18%
FISV,Fiserv Inc.,1.82,31869400,2140668000.0,67.17,Add 20.10%
SNY,Sanofi Aventis,1.76,42709825,2069718000.0,48.46,Reduce 19.58%
UNH,United Health Group Inc.,1.76,6279460,2072913000.0,330.11,Reduce 3.57%
CI,Cigna Group,1.75,7457383,2052496000.0,275.23,Add 18.78%
CHTR,Charter Communications,1.74,9791376,2043950000.0,208.75,Add 23.32%
HUM,Humana Inc.,1.65,7551500,1934166000.0,256.13,
GOOG,Alphabet Inc. CL C,1.64,6146460,1928759000.0,313.8,Reduce 10.92%
BKNG,Booking Holdings Inc.,1.61,353530,1893270000.0,5355.33,Add 4.52%
ASHTF,Ashtead Group plc,1.54,26496300,1807712000.0,68.23,
NSC,Norfolk Southern Corp.,1.53,6238800,1801266000.0,288.72,Reduce 12.45%
GEHC,GE HealthCare Technologies Inc.,1.47,21100966,1730701000.0,82.02,Add 17.23%
TEL,TE Connectivity plc,1.42,7315975,1664457000.0,227.51,Reduce 7.83%
COF,Capital One Financial,1.36,6601535,1599948000.0,242.36,Reduce 25.85%
BUD,Anheuser-Busch InBev,1.35,24746585,1584771000.0,64.04,Reduce 10.05%
FTV,Fortive Corp.,1.34,28566975,1577183000.0,55.21,Add 3.82%
APD,Air Products & Chemicals,1.29,6137551,1516098000.0,247.02,Add 2.37%
SBAC,SBA Communications Corp.,1.28,7757000,1500437000.0,193.43,Add 25.76%
ZBH,Zimmer Biomet Holdings,1.19,15549900,1398247000.0,89.92,
BKR,Baker Hughes Co.,1.17,30154866,1373253000.0,45.54,Reduce 8.52%
SUI,Sun Communities Inc.,1.15,10948300,1356604000.0,123.91,
AON,Aon Plc,1.11,3684200,1300080000.0,352.88,Add 104.83%
ELAN,Elanco Animal Health Inc.,1.02,53122900,1202171000.0,22.63,Reduce 4.01%
IFF,International Flavors & Fragrances Inc.,1.0,17514000,1180268000.0,67.39,
HLNCF,Haleon plc,0.96,111605661,1128333000.0,10.11,Reduce 1.72%
WTW,Willis Towers Watson plc,0.94,3376496,1109517000.0,328.6,Add 142.96%
GS,Goldman Sachs Group,0.93,1239100,1089169000.0,879.0,Reduce 21.64%
GE,GE Aerospace,0.92,3498700,1077705000.0,308.03,Reduce 20.69%
CTSH,Cognizant Technology Solutions,0.82,11631677,965429000.0,83.0,Reduce 8.43%
LPLA,LPL Financial Holdings Inc.,0.81,2649927,946474000.0,357.17,Add 15.94%
TMUS,T-Mobile US Inc.,0.81,4664337,947047000.0,203.04,Add 66.65%
NVS,Novartis AG,0.8,6797608,937186000.0,137.87,Reduce 16.52%
BN,Brookfield Corp.,0.79,20332450,933056000.0,45.89,Buy
D,Dominion Energy Inc.,0.79,15820300,926911000.0,58.59,Reduce 3.14%
INCY,Incyte Corp.,0.76,8987414,887687000.0,98.77,Reduce 4.73%
AVTR,Avantor Inc.,0.73,74871715,858030000.0,11.46,
RHHBY,Roche Holding AG ADR,0.73,16637999,858022000.0,51.57,Reduce 15.50%
BAX,Baxter International Inc.,0.63,38623700,738099000.0,19.11,
COP,ConocoPhillips,0.61,7617834,713105000.0,93.61,
FOXA,Fox Corporation,0.58,9349875,683195000.0,73.07,Reduce 12.42%
ADM,Archer-Daniels-Midland,0.56,11515000,661997000.0,57.49,Add 15.07%
AEP,American Electric Power,0.56,5707400,658120000.0,115.31,Reduce 3.26%
TDY,Teledyne Technologies,0.56,1287100,657361000.0,510.73,
TAP,Molson Coors Beverage Co.,0.55,13942525,650837000.0,46.68,
HPQ,HP Inc.,0.5,26237456,584571000.0,22.28,
ADBE,Adobe Inc.,0.49,1640100,574019000.0,349.99,Add 34.89%
BMRN,BioMarin Pharmaceutical Inc.,0.49,9769625,580609000.0,59.43,
NBIX,Neurocrine Biosciences Inc.,0.48,3964000,562214000.0,141.83,
MDT,Medtronic plc,0.47,5743900,551759000.0,96.06,
CARR,Carrier Global Corp.,0.45,9932779,524848000.0,52.84,
ALNY,Alnylam Pharmaceuticals,0.42,1233200,490382000.0,397.65,Reduce 15.27%
VFC,V.F. Corp.,0.42,27374300,494927000.0,18.08,
LYB,LyondellBasell Industries,0.41,11197363,484846000.0,43.3,
STT,State Street Corp.,0.41,3709700,478588000.0,129.01,Reduce 31.77%
GLPI,Gaming and Leisure Properties Inc.,0.39,10141681,453232000.0,44.69,
AEG,Aegon Ltd,0.38,57563139,443812000.0,7.71,Reduce 18.18%
CE,Celanese Corp.,0.36,10127698,428199000.0,42.28,
RAL,Ralliant Corp.,0.34,7893376,401852000.0,50.91,Add 15.16%
FOX,Fox Corporation CL B,0.29,5283865,343081000.0,64.93,
BMY,Bristol-Myers Squibb,0.23,5112039,275743000.0,53.94,Reduce 3.68%
MCHP,Microchip Technology,0.23,4227400,269370000.0,63.72,
NWSA,News Corp.,0.22,9974090,260523000.0,26.12,
IEX,IDEX Corp.,0.12,808831,143923000.0,177.94,Buy
