ticker,issuer,portfolio_pct,shares,value,reported_price,activity
V,Visa Inc.,13.79,4110970,1242500000.0,302.24,Add 25.68%
GOOG,Alphabet Inc. CL C,11.01,3459649,992435000.0,286.86,Add 220.70%
MCO,Moody's Corp.,7.48,1545670,674299000.0,436.25,Add 99.85%
LIN,Linde plc,5.88,1068371,529656000.0,495.76,Buy
CRS,Carpenter Technology,5.82,1330920,524582000.0,394.15,Reduce 14.30%
AMZN,Amazon.com Inc.,5.46,2363334,492212000.0,208.27,Reduce 59.89%
VMC,Vulcan Materials,5.35,1769216,481758000.0,272.3,Add 84.26%
NVDA,NVIDIA Corp.,5.18,2675018,466523000.0,174.4,Buy
IBKR,Interactive Brokers Group Inc.,4.67,6275179,420876000.0,67.07,Reduce 9.57%
APH,Amphenol Corp.,4.03,2871353,362795000.0,126.35,Reduce 22.56%
CME,CME Group,3.88,1182907,349372000.0,295.35,Add 0.26%
UBER,Uber Technologies Inc.,3.71,4652363,334644000.0,71.93,Add 73.52%
DVN,Devon Energy Corp.,3.64,6525140,328345000.0,50.32,Buy
CRH,CRH plc,3.22,2759331,290061000.0,105.12,Add 22.04%
CNQ,Canadian Natural Resources,3.07,5690211,277056000.0,48.69,Buy
MA,Mastercard Inc.,2.55,459652,229670000.0,499.66,Add 0.29%
MDLN,Medline Inc Cl A,2.16,4365802,194278000.0,44.5,Buy
EMBJ,Embraer SA,1.96,2975231,176550000.0,59.34,Reduce 9.24%
FERG,Ferguson Enterprises Inc.,1.64,634258,147947000.0,233.26,Reduce 37.10%
LAMR,Lamar Advertising Co.,1.53,1088744,137900000.0,126.66,Add 50.78%
ACGL,Arch Capital Group Ltd.,1.19,1116922,107213000.0,95.99,Buy
RNR,RenaissanceRe Holdings Ltd.,1.05,317308,94313000.0,297.23,Reduce 35.33%
NYT,New York Times CL A,0.9,971884,81376000.0,83.73,Reduce 31.07%
AWI,Armstrong World Industries Inc.,0.82,448036,73836000.0,164.8,Buy
