ticker,issuer,portfolio_pct,shares,value,reported_price,activity
GOOG,Alphabet Inc. CL C,4.32,7316252,2585052000.0,353.33,Reduce 1.19%
BDX,Becton Dickinson,3.5,13815335,2090675000.0,151.33,Add 15.82%
META,Meta Platforms Inc.,3.03,3217353,1812303000.0,563.29,Add 0.76%
TSM,Taiwan Semiconductor S.A.,2.99,3745597,1788784000.0,477.57,Reduce 4.01%
FMX,Fomento Economico Mexicano,2.78,13008276,1663759000.0,127.9,Add 0.82%
ELV,Elevance Health Inc.,2.71,4188196,1619701000.0,386.73,Add 1.35%
WPM,Wheaton Precious Metals Corp.,2.67,14215147,1596645000.0,112.32,Add 0.41%
IMO,Imperial Oil Ltd.,2.55,13590697,1524486000.0,112.17,Reduce 2.73%
SLB,Schlumberger Ltd.,2.25,28913733,1344199000.0,46.49,Add 1.89%
BNY,Bank of New York Mellon Corp.,2.24,9266915,1340088000.0,144.61,Reduce 6.09%
HCA,HCA Healthcare Inc.,2.15,3295565,1284908000.0,389.89,Add 1.26%
ORCL,Oracle Corp.,2.09,8516878,1248148000.0,146.55,Add 0.97%
WY,Weyerhaeuser Co.,2.05,51179282,1225232000.0,23.94,Add 10.55%
WTW,Willis Towers Watson plc,1.96,4475860,1169855000.0,261.37,Add 3.15%
ADP,Automatic Data Processing Inc.,1.94,5173929,1158702000.0,223.95,Add 81.56%
CRM,Salesforce.com,1.91,7306034,1144563000.0,156.66,Add 19.14%
FNV,Franco Nevada Corp.,1.84,5273317,1099219000.0,208.45,Reduce 0.02%
ABEV,Ambev S.A.,1.83,349323217,1096875000.0,3.14,Add 0.67%
NEM,Newmont Corp.,1.81,11570326,1080668000.0,93.4,Reduce 3.76%
WDAY,Workday Inc.,1.81,8824517,1080297000.0,122.42,Add 15.98%
MDT,Medtronic plc,1.8,13783983,1078321000.0,78.23,Add 37.23%
PM,Philip Morris Intl.,1.79,5925468,1071977000.0,180.91,Add 0.56%
OKE,ONEOK Inc.,1.72,11834827,1028920000.0,86.94,Add 1.33%
CMCSA,Comcast Corp.,1.57,38172985,937147000.0,24.55,Add 1.04%
GLD,SPDR Gold Trust,1.53,2491623,917863000.0,368.38,Add 1.46%
BKNG,Booking Holdings Inc.,1.47,4916494,876316000.0,178.24,Buy
AEM,Agnico-Eagle Mines Ltd.,1.35,5192638,805996000.0,155.22,Reduce 0.01%
PPG,PPG Industries,1.32,6509824,789576000.0,121.29,Add 1.16%
BIO,Bio-Rad Laboratories Inc.,1.28,2606219,765212000.0,293.61,Add 0.13%
BRO,Brown & Brown Inc.,1.26,11727514,752320000.0,64.15,Add 32.92%
CL,Colgate-Palmolive,1.26,8205699,752299000.0,91.68,Add 1.10%
IFF,International Flavors & Fragrances Inc.,1.25,9409698,745437000.0,79.22,Add 1.02%
B,Barrick Mining Corp.,1.22,19918298,731599000.0,36.73,Reduce 3.17%
MSFT,Microsoft Corp.,1.21,1940215,723739000.0,373.02,Add 46.42%
CHRW,C.H. Robinson Worldwide,1.15,3642453,686020000.0,188.34,Reduce 36.43%
UHS,Universal Health Services Inc.,1.13,4554670,677234000.0,148.69,Add 2.95%
VMRK,Vivmark Residential,1.08,9529108,647312000.0,67.93,Add 0.63%
BXP,BXP Inc.,1.05,9467247,627773000.0,66.31,Add 1.31%
NTR,Nutrien Ltd.,1.05,9971263,627691000.0,62.95,Reduce 0.18%
AXP,American Express,0.95,1680147,568310000.0,338.25,Add 1.05%
NOV,Nov Inc.,0.95,30684691,569201000.0,18.55,Reduce 15.72%
EXR,Extra Space Storage Inc.,0.94,3876997,563328000.0,145.3,Add 1.00%
USB,U.S. Bancorp,0.92,9123058,551033000.0,60.4,Add 1.16%
FISV,Fiserv Inc.,0.89,10857773,532574000.0,49.05,Add 44.86%
OMC,Omnicom Group,0.89,7343209,534806000.0,72.83,Add 0.55%
DG,Dollar General,0.87,4500001,517995000.0,115.11,Add 1.00%
DIS,Walt Disney Co.,0.87,5375293,517372000.0,96.25,Add 2.31%
NE,Noble Corp.,0.87,13957162,520602000.0,37.3,Add 2.91%
CHTR,Charter Communications,0.85,3587347,510156000.0,142.21,Add 0.20%
WAT,Waters Corp.,0.84,1335108,500719000.0,375.04,Reduce 15.24%
CSL,Carlisle Companies,0.75,1234540,447829000.0,362.75,Add 55.65%
CFR,Cullen Frost Bankers,0.72,2777658,429204000.0,154.52,Add 22.59%
BRK.A,Berkshire Hathaway CL A,0.71,565,423100000.0,748849.56,
FNF,Fidelity National Financial Inc.,0.71,8977002,423356000.0,47.16,Add 1.09%
MICC,Magnum Ice Cream Co NV,0.67,23021501,400637000.0,17.4,Add 1.37%
IPGP,IPG Photonics Corp.,0.65,3338881,391717000.0,117.32,Reduce 27.31%
CMI,Cummins Inc.,0.64,536868,382900000.0,713.21,Reduce 30.03%
DE,Deere & Co.,0.57,536879,340558000.0,634.33,Add 0.72%
EXPD,Expeditors Int'l,0.55,2020988,329381000.0,162.98,Reduce 66.01%
HCC,Warrior Met Coal Inc.,0.53,3879058,314824000.0,81.16,Buy
AGI,Alamos Gold Inc.,0.31,6169791,186875000.0,30.29,
GOOGL,Alphabet Inc.,0.31,518922,185447000.0,357.37,Reduce 56.69%
CCU,Compania Cervecerias Unidas SA,0.3,16119532,180538000.0,11.2,Reduce 0.01%
RGLD,Royal Gold Inc.,0.29,861786,172021000.0,199.61,Reduce 6.08%
DEI,Douglas Emmett Inc.,0.28,13958328,164708000.0,11.8,Add 0.00%
