ticker,issuer,portfolio_pct,shares,value,reported_price,activity
ORLA,Orla Mining Ltd,20.33,31817229,423611000.0,13.31,Reduce 44.00%
OXY,Occidental Petroleum,11.94,6050418,248733000.0,41.11,
CVS,CVS Health Corp.,10.33,2712000,215197000.0,79.35,
UAA,Under Armour Inc.,10.01,41958923,208536000.0,4.97,Add 564.77%
CLF,Cleveland-Cliffs Inc.,9.49,14899273,197713000.0,13.27,
BB,BlackBerry Ltd.,6.35,34980220,132225000.0,3.78,Reduce 1.17%
KW,Kennedy-Wilson Holdings Inc.,6.18,13322009,128824000.0,9.67,
KHC,Kraft Heinz Co.,5.96,5119000,124085000.0,24.24,
ATS,Ats Corp,3.28,2486400,68282000.0,27.46,
TAP,Molson Coors Beverage Co.,3.0,1338500,62495000.0,46.69,Add 3.75%
UA,Under Armour CL C,2.18,9457355,45395000.0,4.8,Buy
VOO,Vanguard S&P 500 ETF,1.75,58248,36524000.0,627.04,
HP,Helmerich & Payne,1.62,1174105,33662000.0,28.67,
GM,General Motors,1.47,375965,30577000.0,81.33,
TSM,Taiwan Semiconductor S.A.,1.37,93700,28465000.0,303.79,
BNS,Bank of Nova Scotia,1.27,359100,26488000.0,73.76,
PFE,Pfizer Inc.,1.06,890900,22183000.0,24.9,
MRK,Merck & Co.,0.87,172900,18201000.0,105.27,
JNJ,Johnson & Johnson,0.73,73400,15190000.0,206.95,
GTX,Garrett Motion Inc.,0.22,260460,4540000.0,17.43,Reduce 13.71%
CIGI,Colliers International Group Inc.,0.15,22000,3191000.0,145.05,
LULU,Lululemon Athletica Inc.,0.12,12500,2597000.0,207.76,Reduce 50.00%
CNI,Canadian Natl Railway Co.,0.09,19800,1960000.0,98.99,Buy
CPRI,Capri Holdings Ltd,0.09,78100,1906000.0,24.4,
BRK.A,Berkshire Hathaway CL A,0.04,1,753000.0,753000.0,
PENN,Penn National Gaming Inc.,0.04,54900,809000.0,14.74,
BRSL,Brightstar Lottery,0.03,36633,567000.0,15.48,
MX,MagnaChip Semiconductor Corp.,0.02,125000,316000.0,2.53,
PRTH,Priority Technology Holdings,0.02,70500,384000.0,5.45,Buy
