ticker,issuer,portfolio_pct,shares,value,reported_price,activity
GOOGL,Alphabet Inc.,6.12,1390001,435070000.0,313.0,Reduce 21.36%
ADI,Analog Devices,4.81,1260676,341895000.0,271.2,Reduce 5.61%
META,Meta Platforms Inc.,4.25,457981,302309000.0,660.09,Reduce 0.45%
TEL,TE Connectivity plc,3.68,1148440,261282000.0,227.51,Reduce 18.66%
C,Citigroup Inc.,3.6,2192317,255821000.0,116.69,Reduce 7.82%
GOOG,Alphabet Inc. CL C,3.4,769465,241458000.0,313.8,Reduce 14.07%
BDX,Becton Dickinson,3.22,1180043,229011000.0,194.07,Buy
HKHHF,Heineken Holding NV,3.18,3088974,226201000.0,73.23,
JDEPY,JDE Peets NV,3.1,5885188,220099000.0,37.4,
IFF,International Flavors & Fragrances Inc.,3.0,3163067,213159000.0,67.39,Add 5.52%
AMZN,Amazon.com Inc.,2.84,875695,202128000.0,230.82,Reduce 3.66%
SAFRF,Safran SA,2.67,544912,189806000.0,348.32,
AZE.BR,Azelis Group NV,2.6,16929662,184967000.0,10.93,Buy
PROSF,Prosus NV,2.51,2882508,178486000.0,61.92,
AON,Aon Plc,2.37,477746,168587000.0,352.88,
GLNCY,Glencore Plc,2.07,26947501,147305000.0,5.47,
JEF,Jefferies Financial Group Inc.,1.99,2277248,141121000.0,61.97,
AMRZ.SW,AMRIZE Ltd.,1.85,2429341,131379000.0,54.08,
FERG,Ferguson Enterprises Inc.,1.81,576928,128441000.0,222.63,Reduce 0.95%
LPLA,LPL Financial Holdings Inc.,1.73,344126,122911000.0,357.17,Reduce 12.69%
CMCSA,Comcast Corp.,1.68,3996138,119445000.0,29.89,Reduce 43.62%
ERFSF,Eurofins Scientific SE,1.68,1637209,119729000.0,73.13,
028260.KS,Samsung C&T Corp.,1.58,675846,112253000.0,166.09,Reduce 2.70%
FBIN,Fortune Brands Innovations Inc.,1.55,2196279,109858000.0,50.02,Add 19.90%
ICLR,ICON plc,1.49,580243,105732000.0,182.22,
NXPI,NXP Semiconductors NV,1.47,482460,104723000.0,217.06,
CFRUY,Compagnie Financiere Richemont Switz ADR,1.36,446942,96384000.0,215.65,Reduce 14.67%
LBRDK,Liberty Broadband Corp. CL C,1.29,1890532,91880000.0,48.6,Buy
MTN,Vail Resorts Inc.,1.26,672835,89352000.0,132.8,Add 6.98%
NPCPF,Nippon Paint Holdings Co Ltd,1.2,12787300,85620000.0,6.7,Buy
MICC,Magnum Ice Cream Co NV,1.15,5106808,81512000.0,15.96,Buy
003550.KS,LG Corp.,1.14,1442197,80803000.0,56.03,
HCMLF,Holcim Ltd.,1.13,826751,80484000.0,97.35,
PDRDY,Pernod-Ricard SA,1.12,926151,79305000.0,85.63,Add 15.66%
NOV,Nov Inc.,1.11,5037287,78733000.0,15.63,Buy
TMO,Thermo Fisher Scientific,1.1,134470,77919000.0,579.45,Buy
MAR,Marriott Int'l.,1.07,244440,75835000.0,310.24,Reduce 15.20%
BIO,Bio-Rad Laboratories Inc.,1.04,243903,73900000.0,302.99,
KMX,CarMax Inc.,1.0,1836295,70954000.0,38.64,Add 20.72%
CHTR,Charter Communications,0.96,325576,67964000.0,208.75,Reduce 17.24%
KMI,Kinder Morgan,0.96,2488164,68400000.0,27.49,
MKGAF,Merck KGaA,0.93,465134,66387000.0,142.73,Buy
WFC,Wells Fargo,0.92,703204,65539000.0,93.2,Reduce 13.92%
NATL,NCR Atleos Corp.,0.89,1660761,63292000.0,38.11,
WAB,WABTEC Corp.,0.84,281311,60046000.0,213.45,
IMDZF,IMCD NV,0.82,640089,58097000.0,90.76,Buy
DEI,Douglas Emmett Inc.,0.79,5119454,56263000.0,10.99,Add 24.24%
UBER,Uber Technologies Inc.,0.69,602717,49248000.0,81.71,
DELL,Dell Technologies Inc.,0.68,382985,48210000.0,125.88,Reduce 8.49%
HRSEF,Hirose Electric Co Ltd,0.68,438300,48504000.0,110.66,Buy
VNO,Vornado Realty Trust,0.68,1448615,48210000.0,33.28,
271560.KS,ORION Corp.,0.67,651117,47711000.0,73.28,Add 23.13%
MCDIF,McDermott International Inc.,0.6,2851885,42778000.0,15.0,
VYX,NCR Voyix Corp.,0.52,3636184,37089000.0,10.2,Add 32.14%
6465.T,Hoshizaki Corp.,0.43,919020,30612000.0,33.31,Add 15.89%
NTDOF,Nintendo Co. Ltd,0.43,455180,30731000.0,67.51,Reduce 10.68%
SDXOF,Sodexo SA,0.41,562744,28833000.0,51.24,Buy
AVTR,Avantor Inc.,0.4,2490982,28547000.0,11.46,Buy
GPOR,Gulfport Energy Corp.,0.33,111713,23235000.0,207.99,Reduce 25.54%
SATS,EchoStar Corp.,0.26,170053,18485000.0,108.7,Reduce 55.84%
AVGO,Broadcom Inc.,0.25,51455,17809000.0,346.11,Reduce 31.95%
0019.HK,Swire Pacific Ltd,0.24,2098628,16918000.0,8.06,
RPHCF,Rohto Pharmaceutical Co Ltd,0.24,1007600,16891000.0,16.76,Buy
PCG,PG&E Corp.,0.16,720710,11582000.0,16.07,
SSDOY,Shiseido Co. Ltd.,0.02,83300,1212000.0,14.55,Reduce 90.60%
