ticker,issuer,portfolio_pct,shares,value,reported_price,activity
RLI,RLI Corp.,4.88,726288,46468000.0,63.98,Add 2.83%
UGI,UGI Corp.,4.83,1228590,45986000.0,37.43,Add 18.10%
SNX,SYNNEX Corp.,4.48,284230,42700000.0,150.23,
IDCC,InterDigital Inc.,3.87,115774,36860000.0,318.38,Reduce 21.74%
REVG,OLD- REV Group Inc.,3.44,539334,32797000.0,60.81,
NJR,New Jersey Resources,3.41,704091,32473000.0,46.12,Add 40.62%
OSK,Oshkosh Corp.,3.11,235640,29603000.0,125.63,
CSGS,CSG Systems International,3.03,376114,28844000.0,76.69,
AX,Axos Financial Inc.,2.93,323282,27854000.0,86.16,
SFBS,ServisFirst Bancshares Inc.,2.9,384754,27621000.0,71.79,
ARW,Arrow Electronics,2.89,249675,27509000.0,110.18,Add 8.71%
CNO,CNO Financial Group Inc.,2.85,639304,27151000.0,42.47,Add 8.48%
NNI,Nelnet Inc.,2.8,200594,26671000.0,132.96,Add 0.57%
MDU,MDU Resources,2.77,1350277,26357000.0,19.52,Add 9.34%
JBTM,JBT Marel Corp.,2.74,173045,26073000.0,150.67,
MTG,MGIC Investment,2.74,891532,26051000.0,29.22,Add 4.86%
PVH,PVH Corp.,2.61,371552,24901000.0,67.02,
SYNA,Synaptics Inc.,2.59,332713,24627000.0,74.02,
IMKTA,Ingles Markets Inc.,2.53,351864,24120000.0,68.55,Add 19.99%
VSH,Vishay Intertechnology,2.53,1665006,24126000.0,14.49,
LFUS,Littelfuse Inc.,2.49,93761,23714000.0,252.92,
AGCO,AGCO Corp.,2.46,224475,23417000.0,104.32,Add 28.66%
MSM,MSC Industrial Direct,2.28,258539,21743000.0,84.1,
SFM,Sprouts Farmers Market Inc.,2.21,264656,21085000.0,79.67,Add 89.51%
FN,Fabrinet,2.09,43673,19883000.0,455.27,Reduce 68.81%
GIII,G-III Apparel Group,2.06,677440,19619000.0,28.96,
HMN,Horace Mann Educators,2.02,415832,19203000.0,46.18,
SCHL,Scholastic Corp.,1.97,631707,18717000.0,29.63,Add 12.34%
UPBD,Upbound Group Inc.,1.95,1055661,18537000.0,17.56,Add 13.01%
LEVI,Levi Strauss & Co.,1.91,878700,18224000.0,20.74,
SAIC,Science Applications International Corp.,1.64,154904,15593000.0,100.66,Reduce 23.17%
PLUS,ePlus Inc.,1.62,176077,15442000.0,87.7,Add 759.16%
AAP,Advance Auto Parts,1.42,343013,13480000.0,39.3,
IAC,IAC Inc.,1.4,341303,13345000.0,39.1,Reduce 15.98%
DAR,Darling Ingredients Inc.,1.25,331396,11930000.0,36.0,
ECG,Everus Construction Group Inc.,1.25,139479,11934000.0,85.56,
QRVO,Qorvo Inc.,1.21,136153,11506000.0,84.51,
DCO,Ducommun Inc.,1.1,109929,10458000.0,95.13,
GGG,Graco Inc.,0.7,81171,6654000.0,81.98,
GPK,Graphic Packaging Hldg Co.,0.58,363852,5480000.0,15.06,Add 33.28%
CNXC,Concentrix Corp.,0.55,125731,5228000.0,41.58,Reduce 30.31%
VSEC,VSE Corp.,0.55,30204,5218000.0,172.76,Reduce 14.86%
CSW,CSW Industrials Inc.,0.45,14730,4324000.0,293.55,Reduce 5.09%
FSBC,Five Star Bancorp,0.37,97223,3479000.0,35.78,
FSTR,LB Foster Co.,0.29,102635,2766000.0,26.95,
DECK,Deckers Outdoor,0.26,23807,2468000.0,103.67,
