ticker,issuer,portfolio_pct,shares,value,reported_price,activity
WAT,Waters Corp.,7.9,3557978,1351427000.0,379.83,Reduce 10.05%
SYK,Stryker Corp.,7.57,3687511,1296049000.0,351.47,Reduce 19.68%
IDXX,IDEXX Laboratories,7.42,1876035,1269194000.0,676.53,Reduce 28.13%
V,Visa Inc.,7.24,3534684,1239649000.0,350.71,Reduce 8.29%
MAR,Marriott Int'l.,7.21,3979927,1234733000.0,310.24,Reduce 5.87%
GOOGL,Alphabet Inc.,6.4,3498519,1095036000.0,313.0,Reduce 44.37%
ADP,Automatic Data Processing Inc.,6.28,4177969,1074699000.0,257.23,Reduce 3.10%
MSFT,Microsoft Corp.,5.88,2079971,1005916000.0,483.62,Reduce 19.49%
PM,Philip Morris Intl.,5.74,6124597,982385000.0,160.4,Reduce 14.80%
META,Meta Platforms Inc.,5.26,1363539,900058000.0,660.09,Reduce 12.52%
MTD,Mettler-Toledo International Inc.,4.73,580507,809337000.0,1394.19,Reduce 1.72%
PG,Procter & Gamble,3.56,4248048,608788000.0,143.31,Reduce 7.19%
CHD,Church & Dwight,3.3,6728404,564177000.0,83.85,Reduce 0.97%
FTNT,Fortinet Inc.,3.02,6516011,517436000.0,79.41,Reduce 22.61%
ZTS,Zoetis Inc.,2.87,3900803,490799000.0,125.82,Add 7.90%
TXN,Texas Instruments,2.66,2623552,455160000.0,173.49,Reduce 3.61%
INTU,Intuit Inc.,2.42,625619,414423000.0,662.42,Add 3.50%
NKE,NIKE Inc.,2.15,5770181,367618000.0,63.71,Reduce 5.86%
OTIS,Otis Worldwide Corp.,1.59,3112380,271866000.0,87.35,Reduce 46.51%
MSCI,MSCI Inc.,0.56,166619,95594000.0,573.73,
ROL,Rollins Inc.,0.52,1478629,88747000.0,60.02,
QLYS,Qualys Inc.,0.5,647806,86093000.0,132.9,Reduce 25.61%
ODD,Oddity Tech Ltd Cl A,0.49,2074167,83340000.0,40.18,Add 46.38%
PAYC,Paycom Software Inc.,0.49,523433,83414000.0,159.36,
CPRX,Catalyst Pharmaceuticals Inc.,0.46,3363807,78511000.0,23.34,
DOCS,Doximity Inc.,0.43,1650002,73062000.0,44.28,Add 21.69%
NSSC,Napco Security Technologies Inc.,0.43,1779857,74220000.0,41.7,
NTNX,Nutanix Inc.,0.42,1377158,71185000.0,51.69,Buy
VRT,Vertiv Holdings Co.,0.39,410944,66577000.0,162.01,Reduce 30.52%
VRSN,Verisign Inc.,0.38,270634,65751000.0,242.95,
CLX,Clorox Co.,0.36,613497,61859000.0,100.83,
MANH,Manhattan Associates,0.29,288332,49971000.0,173.31,
GGG,Graco Inc.,0.28,579016,47462000.0,81.97,Reduce 35.70%
MEDP,Medpace Holdings Inc.,0.27,82567,46374000.0,561.65,Reduce 35.26%
ADMA,ADMA Biologics Inc.,0.22,2102054,38341000.0,18.24,Buy
SABR,Sabre Corp.,0.17,21499095,29239000.0,1.36,
HD,Home Depot,0.16,80206,27599000.0,344.1,Reduce 5.48%
