ticker,issuer,portfolio_pct,shares,value,reported_price,activity
BRK.B,Berkshire Hathaway CL B,25.8,17048304,8169547000.0,479.2,Reduce 12.15%
WM,Waste Management Inc.,20.06,27642344,6351934000.0,229.79,Reduce 4.47%
CNI,Canadian Natl Railway Co.,16.82,51826786,5326239000.0,102.77,
CAT,Caterpillar Inc.,14.22,6353614,4501281000.0,708.46,
DE,Deere & Co.,6.33,3557378,2003871000.0,563.3,
ECL,Ecolab Inc.,4.38,5218044,1388104000.0,266.02,
WMT,Walmart Inc.,3.29,8390477,1042768000.0,124.28,
FDX,FedEx Corp.,2.68,2384362,849262000.0,356.18,
KOF,Coca-Cola FEMSA S A CV,1.91,6214719,606246000.0,97.55,
WCN,Waste Connections,1.05,2039175,331244000.0,162.44,
MSGS,Madison Square Garden Sports Corp.,0.6,592406,190399000.0,321.4,
CPNG,Coupang Inc.,0.55,9248045,174603000.0,18.88,
BUD,Anheuser-Busch InBev,0.37,1703000,118137000.0,69.37,
PCAR,PACCAR Inc.,0.36,1000000,115500000.0,115.5,
WST,West Pharmaceutical Services,0.35,444500,111409000.0,250.64,
MCD,McDonald's Corp.,0.33,334900,104084000.0,310.79,
SDGR,SCHRODINGER Inc.,0.25,6981664,79312000.0,11.36,
DHR,Danaher Corp.,0.22,373000,70721000.0,189.6,
KHC,Kraft Heinz Co.,0.18,2472600,55609000.0,22.49,
HRL,Hormel Foods Corp.,0.15,2085290,47232000.0,22.65,
ONON,On Holding AG,0.05,500000,17010000.0,34.02,
VLTO,Veralto Corp.,0.03,124333,10994000.0,88.42,
