ticker,issuer,portfolio_pct,shares,value,reported_price,activity
GRBK,Green Brick Partners,19.39,9467383,757769000.0,80.04,
FLR,Fluor Corp.,6.24,4658750,244072000.0,52.39,Reduce 1.87%
CNR,Core Natural Resources Inc.,4.67,2283200,182701000.0,80.02,Add 22.88%
BHF,Brighthouse Financial Inc.,4.6,2842100,179905000.0,63.3,
ACHC,Acadia Healthcare Co.,3.32,4400641,129951000.0,29.53,Reduce 2.61%
PENN,Penn National Gaming Inc.,3.2,5860270,125175000.0,21.36,Reduce 3.05%
FBIN,Fortune Brands Innovations Inc.,3.15,2241875,123079000.0,54.9,Buy
PCG,PG&E Corp.,2.85,6632852,111565000.0,16.82,
CNC,Centene Corp.,2.71,1651150,105987000.0,64.19,Reduce 39.56%
GPK,Graphic Packaging Hldg Co.,2.69,9953430,105208000.0,10.57,Add 9.38%
SNX,SYNNEX Corp.,2.61,381042,101868000.0,267.34,Reduce 20.54%
TEVA,Teva Pharmaceutical Industries Ltd.,2.5,2886059,97780000.0,33.88,Reduce 0.85%
VGNT,Versigent Plc,2.45,2277640,95683000.0,42.01,Buy
CPRI,Capri Holdings Ltd,2.29,4820118,89509000.0,18.57,Reduce 2.24%
BKV,Bkv Corporation,2.17,3095173,84684000.0,27.36,Add 14.83%
DHT,DHT Holdings Inc.,2.13,5034320,83218000.0,16.53,Reduce 4.52%
CROX,Crocs Inc.,2.07,669140,80725000.0,120.64,
ROIV,Roivant Sciences Ltd,1.95,2152669,76183000.0,35.39,
SHC,Sotera Health Co,1.88,4135515,73406000.0,17.75,Add 100.20%
PRMB,Primo Brands Corp,1.77,2823660,69010000.0,24.44,Buy
VSNT,Versant Media Group Inc.,1.77,1922172,69218000.0,36.01,Reduce 36.53%
DCH,Dauch Corp.,1.72,12395104,67182000.0,5.42,Add 96.39%
PYPL,PayPal Holdings Inc.,1.57,1424320,61502000.0,43.18,Buy
HSIC,Henry Schein Inc.,1.54,718550,60013000.0,83.52,Add 19.90%
WBD,Warner Bros. Discovery Inc.,1.53,2246180,59883000.0,26.66,Buy
LBTYA,Liberty Global Ltd CL A,1.44,4963322,56433000.0,11.37,
AR,Antero Resources,1.42,1574140,55315000.0,35.14,Add 94.69%
STUB,Stubhub Holdings Inc Class A,1.39,4233200,54481000.0,12.87,
REZI,Resideo Technologies Inc.,1.35,1699590,52858000.0,31.1,Add 7.91%
DECK,Deckers Outdoor,1.29,506398,50280000.0,99.29,Add 5.19%
SPB,Spectrum Brands Holdings Inc.,1.23,561438,48143000.0,85.75,Reduce 13.67%
CNH,CNH Industrial NV,1.2,4188940,47042000.0,11.23,
VTRS,Viatris Inc.,1.13,2773470,44043000.0,15.88,Add 52.59%
PSKY,Paramount Skydance Corp.,0.99,3926080,38711000.0,9.86,
PVH,PVH Corp.,0.99,520800,38675000.0,74.26,Buy
CMCSA,Comcast Corp.,0.85,1345780,33039000.0,24.55,Buy
SLDE,Slide Insurance Holdings Inc,0.84,1686630,32670000.0,19.37,
TRIP,TripAdvisor Inc.,0.83,2361973,32383000.0,13.71,Add 50.95%
GLD,SPDR Gold Trust,0.79,83421,30731000.0,368.38,Reduce 16.25%
CI,Cigna Group,0.62,88400,24371000.0,275.69,
LKFT,Lakefront Biotherapeutics,0.37,482746,14472000.0,29.98,
COYA,Coya Therapeutics Inc,0.35,2335540,13663000.0,5.85,
IMVT,Immunovant Inc.,0.09,93520,3603000.0,38.53,
GANX,Gain Therapeutics Inc.,0.03,566130,1149000.0,2.03,
GPRO,GoPro Inc.,0.03,1693860,1318000.0,0.78,
NUVB,Nuvation Bio Inc.,0.01,34995,199000.0,5.69,
