ticker,issuer,portfolio_pct,shares,value,reported_price,activity
GOOG,Alphabet Inc. CL C,13.32,3931197,1233610000.0,313.8,Reduce 15.46%
BRK.A,Berkshire Hathaway CL A,12.12,1488,1123142000.0,754799.73,Reduce 3.44%
MA,Mastercard Inc.,9.77,1585999,905415000.0,570.88,Reduce 2.12%
CFRHF,Compagnie Financiere Richemont SA,8.21,3502105,760539000.0,217.17,Reduce 2.83%
PM,Philip Morris Intl.,8.13,4697508,753480000.0,160.4,Add 0.76%
HKHHF,Heineken Holding NV,7.28,9200276,674248000.0,73.29,Reduce 0.92%
BRK.B,Berkshire Hathaway CL B,6.11,1125395,565680000.0,502.65,Reduce 3.10%
NSRGY,Nestle,5.99,5617162,554863000.0,98.78,Reduce 2.79%
NFLX,Netflix Inc.,5.07,5004765,469247000.0,93.76,Reduce 2.71%
MLM,Martin Marietta,4.88,726612,452432000.0,622.66,Add 5.68%
UBER,Uber Technologies Inc.,4.54,5145060,420403000.0,81.71,Add 9.22%
ASHTF,Ashtead Group plc,4.51,6111758,418101000.0,68.41,Add 9.59%
PDRDF,Pernod Ricard,2.37,2553880,219256000.0,85.85,Reduce 5.43%
DASH,DoorDash Inc.,2.27,930467,210732000.0,226.48,Add 0.44%
JPM,JPMorgan Chase & Co.,1.84,528817,170395000.0,322.22,Reduce 2.97%
CMCSA,Comcast Corp.,0.74,2300197,68753000.0,29.89,Reduce 5.95%
BF.A,Brown-Forman Corp. CL A,0.47,1668094,43888000.0,26.31,Reduce 2.91%
V,Visa Inc.,0.41,108818,38164000.0,350.71,Reduce 11.00%
XOM,Exxon Mobil Corp.,0.25,193033,23230000.0,120.34,Add 0.67%
BF.B,Brown-Forman Corp.,0.2,708179,18455000.0,26.06,Reduce 7.52%
BUDFF,Anheuser Busch Inbev SA NV,0.18,265525,17120000.0,64.48,Reduce 5.91%
MKL,Markel Group Inc.,0.15,6279,13498000.0,2149.71,Reduce 17.95%
CR,Crane Co,0.11,54401,10033000.0,184.43,Reduce 3.67%
MO,Altria Group Inc.,0.1,164772,9501000.0,57.66,Reduce 0.56%
UNP,Union Pacific,0.06,24984,5779000.0,231.31,Add 0.57%
AXP,American Express,0.05,12160,4499000.0,369.98,Reduce 10.80%
GOOGL,Alphabet Inc.,0.05,14916,4669000.0,313.02,Reduce 3.68%
COST,Costco Co.,0.04,4624,3987000.0,862.24,
DOV,Dover Corp.,0.04,19526,3812000.0,195.23,Reduce 0.13%
ABBV,AbbVie Inc.,0.03,12410,2836000.0,228.53,
CABJF,Carlsberg A/S,0.03,23091,3033000.0,131.35,Add 91.55%
DGEAF,Diageo Plc,0.03,129805,2800000.0,21.57,Buy
MKC,McCormick & Co.,0.03,40666,2770000.0,68.12,Reduce 2.22%
ABT,Abbott Labs,0.02,11510,1442000.0,125.28,
COCXF,Lindt & Spruengli AG,0.02,15,2204000.0,146933.33,
DLG.MI,De'Longhi SPA,0.02,35250,1511000.0,42.87,
DVDCF,Davide Campari-Milano S.p.A.,0.02,242103,1575000.0,6.51,Add 15.09%
ECTXF,Electrolux Professional Ab B,0.02,200000,1415000.0,7.08,
FLUIF,Fluidra SA,0.02,59000,1605000.0,27.2,Add 11.32%
H,Hyatt Hotels Corp.,0.02,8675,1391000.0,160.35,
KNCRF,Konecranes Oyj,0.02,18450,2035000.0,110.3,
LRLCF,L'Oreal SA,0.02,3705,1595000.0,430.5,Reduce 8.52%
MSFT,Microsoft Corp.,0.02,3705,1792000.0,483.67,Add 5.71%
PEP,PepsiCo Inc.,0.02,9794,1406000.0,143.56,Reduce 10.64%
PG,Procter & Gamble,0.02,11951,1713000.0,143.34,Add 9.44%
SSPPF,Ssp Group Plc,0.02,660000,1829000.0,2.77,
VMC,Vulcan Materials,0.02,7912,2257000.0,285.26,Reduce 20.06%
WRBY,Warby Parker Inc.,0.02,65000,1416000.0,21.78,Add 6.56%
AAPL,Apple Inc.,0.01,4674,1271000.0,271.93,Reduce 0.53%
AKBLF,Alk Abello A s,0.01,35000,1258000.0,35.94,Buy
FBLA,Fb Bancorp Inc,0.01,50000,643000.0,12.86,
FLMNF,Fielmann Group Ag,0.01,25700,1314000.0,51.13,Add 2.80%
FULT,Fulton Financial Corp.,0.01,54100,1046000.0,19.33,Reduce 16.25%
HINKF,Heineken NV,0.01,15131,1239000.0,81.88,
HMRZF,Hennes & Mauritz Ab B Shs,0.01,64000,1291000.0,20.17,
HRI,HERC Holdings Inc.,0.01,6450,957000.0,148.37,
HRL,Hormel Foods Corp.,0.01,19835,470000.0,23.7,
JBTM,JBT Marel Corp.,0.01,7250,1092000.0,150.62,
KMROF,Kalmar Oyj B Share,0.01,24000,1143000.0,47.63,Add 20.00%
KO,Coca Cola Co.,0.01,13640,954000.0,69.94,
LAMR,Lamar Advertising Co.,0.01,5974,756000.0,126.55,
LEVI,Levi Strauss & Co.,0.01,47725,990000.0,20.74,
LTSSF,Lotus Bakeries,0.01,115,1060000.0,9217.39,
NSRGF,Nestle Sa Reg,0.01,11130,1106000.0,99.37,Reduce 0.36%
ORCL,Oracle Corp.,0.01,3475,677000.0,194.82,
PNC,PNC Financial Services,0.01,3750,783000.0,208.8,
PUIGF,Puig Brands SA B,0.01,68000,1188000.0,17.47,
RTLLF,Rational Ag,0.01,975,757000.0,776.41,
SWZ,Swiss Helvetia Fund Inc.,0.01,146284,910000.0,6.22,Reduce 66.31%
WFC,Wells Fargo,0.01,7964,742000.0,93.17,Reduce 21.53%
WILLF,Demant A s,0.01,41000,1387000.0,33.83,
WMT,Walmart Inc.,0.01,10165,1132000.0,111.36,
YETI,YETI Holdings Inc.,0.01,24000,1060000.0,44.17,
ZLDSF,Zalando Se,0.01,28000,833000.0,29.75,
AMZN,Amazon.com Inc.,0.0,1040,240000.0,230.77,Buy
CAT,Caterpillar Inc.,0.0,550,315000.0,572.73,Reduce 21.43%
CIR.MI,Cir SPA,0.0,251250,207000.0,0.82,
CVX,Chevron Corp.,0.0,2670,407000.0,152.43,
DIS,Walt Disney Co.,0.0,2510,286000.0,113.94,
GNRC,Generac Holdings Inc.,0.0,2250,307000.0,136.44,
IBM,International Business Machines,0.0,750,222000.0,296.0,Buy
JNJ,Johnson & Johnson,0.0,976,202000.0,206.97,Buy
LTGIF,Lt Group Inc,0.0,1775000,446000.0,0.25,
MCD,McDonald's Corp.,0.0,905,277000.0,306.08,Add 28.37%
OUT,Outfront Media Inc.,0.0,15677,378000.0,24.11,Reduce 0.08%
PHJMF,Hanjaya Mandala Sampoerna,0.0,5000000,217000.0,0.04,
UNM,Unum Group,0.0,3800,295000.0,77.63,
