ticker,issuer,portfolio_pct,shares,value,reported_price,activity
GOOGL,Alphabet Inc.,22.85,2543300,731351000.0,287.56,
GOOG,Alphabet Inc. CL C,21.97,2451300,703180000.0,286.86,
PDD,Pinduoduo Inc.,14.71,4608000,470845000.0,102.18,
BRK.B,Berkshire Hathaway CL B,13.44,897749,430201000.0,479.2,
EWBC,East West Bancorp,9.26,2776351,296403000.0,106.76,
BAC,Bank of America Corp.,4.57,2997987,146152000.0,48.75,Reduce 71.26%
OXY,Occidental Petroleum,2.98,1466500,95323000.0,65.0,
CROX,Crocs Inc.,2.3,887093,73646000.0,83.02,Add 41.22%
TME,Tencent Music Entertainment Grp,1.91,6590836,61163000.0,9.28,Buy
HRB,H&R Block Inc.,1.61,1626906,51638000.0,31.74,Buy
MCO,Moody's Corp.,1.61,117784,51383000.0,436.25,Buy
SPGI,S&P Global Inc.,1.61,121463,51663000.0,425.34,Buy
AAPL,Apple Inc.,0.88,110600,28069000.0,253.79,
MSCI,MSCI Inc.,0.32,18939,10208000.0,538.99,Buy
