ticker,issuer,portfolio_pct,shares,value,reported_price,activity
MSFT,Microsoft Corp.,8.55,1171009,433472000.0,370.17,Reduce 11.74%
GOOGL,Alphabet Inc.,8.22,1449021,416680000.0,287.56,Reduce 5.43%
AAPL,Apple Inc.,7.99,1595941,405034000.0,253.79,Reduce 19.33%
NVDA,NVIDIA Corp.,5.61,1632015,284623000.0,174.4,Reduce 27.59%
AMZN,Amazon.com Inc.,5.01,1219422,253969000.0,208.27,Add 7.56%
MA,Mastercard Inc.,4.84,490929,245298000.0,499.66,Add 1.70%
KLAC,KLA Corp.,4.81,165632,243878000.0,1472.41,Reduce 12.60%
SYK,Stryker Corp.,4.51,696367,228819000.0,328.59,Reduce 4.81%
LLY,Eli Lilly & Co.,4.18,230671,212164000.0,919.77,Reduce 7.67%
SHW,Sherwin-Williams,3.96,626286,200756000.0,320.55,Add 1.30%
MRSH,Marsh,3.94,1151204,199676000.0,173.45,Add 6.17%
META,Meta Platforms Inc.,3.85,341147,195180000.0,572.13,Reduce 6.80%
ABT,Abbott Labs,3.01,1486036,152571000.0,102.67,Reduce 20.66%
WM,Waste Management Inc.,2.95,651328,149669000.0,229.79,Reduce 34.90%
PG,Procter & Gamble,2.84,997406,144065000.0,144.44,Reduce 22.21%
EFX,Equifax Inc.,2.78,783100,141013000.0,180.07,Reduce 5.01%
CDNS,Cadence Design Systems,2.77,505861,140564000.0,277.87,Reduce 4.49%
BR,Broadridge Financial Solutions,2.74,855784,139048000.0,162.48,Add 11.22%
AVGO,Broadcom Inc.,2.72,445649,137933000.0,309.51,Add 149.75%
VEEV,Veeva Systems Inc.,1.96,566467,99506000.0,175.66,Add 83.47%
VRSK,Verisk Analytics Inc.,1.8,481494,91363000.0,189.75,Add 8.06%
MCD,McDonald's Corp.,1.69,276262,85859000.0,310.79,Reduce 37.68%
MSI,Motorola Solutions Inc.,1.45,169491,73554000.0,433.97,Reduce 3.28%
CPRT,Copart Inc.,1.05,1603423,53234000.0,33.2,Reduce 26.06%
INTU,Intuit Inc.,0.88,103535,44766000.0,432.38,Reduce 62.07%
APH,Amphenol Corp.,0.56,225363,28475000.0,126.35,Reduce 2.22%
ADP,Automatic Data Processing Inc.,0.42,104897,21313000.0,203.18,Reduce 83.45%
ORCL,Oracle Corp.,0.35,120790,17769000.0,147.11,Reduce 2.88%
ECL,Ecolab Inc.,0.31,58860,15658000.0,266.02,Reduce 1.83%
JGRW,Jensen Quality Growth ETF,0.28,574732,13974000.0,24.31,Add 10.98%
PEP,PepsiCo Inc.,0.25,81335,12631000.0,155.3,Reduce 0.81%
ACN,Accenture,0.23,58324,11565000.0,198.29,Reduce 12.19%
WAT,Waters Corp.,0.23,38766,11545000.0,297.81,Add 0.08%
CL,Colgate-Palmolive,0.2,118640,10112000.0,85.23,Reduce 0.25%
EMR,Emerson Electric,0.19,74490,9760000.0,131.02,Reduce 0.55%
KO,Coca Cola Co.,0.17,111651,8491000.0,76.05,Reduce 0.00%
ADBE,Adobe Inc.,0.16,33832,8224000.0,243.08,Reduce 2.21%
AON,Aon Plc,0.16,25569,8253000.0,322.77,Add 141.15%
CTSH,Cognizant Technology Solutions,0.13,106417,6529000.0,61.35,Reduce 1.22%
CCK,Crown Holdings,0.11,56903,5705000.0,100.26,
TSM,Taiwan Semiconductor S.A.,0.11,16427,5552000.0,337.98,Reduce 4.05%
EHC,Encompass Health Corp.,0.1,50660,4900000.0,96.72,
LH,Labcorp Holdings Inc.,0.1,18480,4931000.0,266.83,Reduce 19.02%
CLX,Clorox Co.,0.09,46165,4784000.0,103.63,Reduce 32.57%
KEYS,Keysight Technologies Inc.,0.09,16962,4790000.0,282.4,Reduce 38.83%
KR,Kroger Co.,0.09,66270,4795000.0,72.36,Reduce 17.41%
ROST,Ross Stores Inc.,0.09,22024,4771000.0,216.63,Reduce 18.26%
TSCO,Tractor Supply,0.09,97780,4429000.0,45.3,
FFIV,F5 Networks,0.08,13320,3854000.0,289.34,Reduce 5.53%
MMM,3M Co.,0.08,27629,4013000.0,145.25,Reduce 0.72%
MSCI,MSCI Inc.,0.08,7750,4177000.0,538.97,Reduce 21.32%
NKE,NIKE Inc.,0.08,74924,3957000.0,52.81,Reduce 2.42%
