ticker,issuer,portfolio_pct,shares,value,reported_price,activity
TSM,Taiwan Semiconductor S.A.,6.81,3052400,927594000.0,303.89,
VST,Vistra Corp.,6.18,5211885,840833000.0,161.33,Add 10.91%
CVNA,Carvana Co.,5.52,1779328,750912000.0,422.02,Add 0.80%
LPLA,LPL Financial Holdings Inc.,5.44,2074948,741109000.0,357.17,Reduce 8.01%
BN,Brookfield Corp.,5.37,15923360,730723000.0,45.89,Add 4.26%
ASML,ASML Holding NV,4.76,605017,647283000.0,1069.86,Buy
KKR,KKR & Co. L.P.,4.68,5001085,637538000.0,127.48,Add 22.56%
AVGO,Broadcom Inc.,4.4,1730216,598828000.0,346.1,Add 11.67%
MSFT,Microsoft Corp.,4.38,1234125,596848000.0,483.62,Add 2.11%
DASH,DoorDash Inc.,4.21,2529879,572967000.0,226.48,Buy
AMZN,Amazon.com Inc.,4.09,2414520,557320000.0,230.82,Reduce 14.13%
COF,Capital One Financial,4.09,2294891,556190000.0,242.36,Reduce 10.69%
APP,Applovin Corp.,3.86,780530,525937000.0,673.82,Reduce 29.63%
NU,Nu Holdings Ltd,3.64,29630237,496010000.0,16.74,Add 16.62%
MDLN,Medline Inc Cl A,3.62,11716697,492101000.0,42.0,Buy
TLN,Talen Energy Corp,3.56,1292516,484487000.0,374.84,Add 8.39%
VMC,Vulcan Materials,3.53,1683932,480291000.0,285.22,Add 21.62%
PM,Philip Morris Intl.,3.12,2643579,424030000.0,160.4,Reduce 42.71%
CRS,Carpenter Technology,3.04,1312938,413365000.0,314.84,Buy
WING,Wingstop Inc.,2.8,1595258,380453000.0,238.49,Add 6.97%
APH,Amphenol Corp.,2.79,2809773,379713000.0,135.14,Reduce 7.06%
THC,Tenet Healthcare Corp.,2.61,1787326,355177000.0,198.72,Buy
CLH,Clean Harbors Inc.,2.37,1378125,323143000.0,234.48,Buy
AFRM,Affirm Holdings Inc.,2.09,3817170,284112000.0,74.43,Buy
ENTG,Entegris Inc.,1.89,3054230,257319000.0,84.25,Buy
MA,Mastercard Inc.,0.4,96338,54997000.0,570.88,Buy
TDG,TransDigm Group Inc.,0.19,19228,25570000.0,1329.83,Buy
BKNG,Booking Holdings Inc.,0.18,4630,24795000.0,5355.29,Reduce 85.14%
BSX,Boston Scientific,0.14,201703,19232000.0,95.35,Buy
HLT,Hilton Worldwide Holdings,0.12,57817,16608000.0,287.25,Buy
SPOT,Spotify Technology S.A.,0.08,17762,10315000.0,580.73,Buy
V,Visa Inc.,0.04,15217,5337000.0,350.73,Buy
