ticker,issuer,portfolio_pct,shares,value,reported_price,activity
GOOG,Alphabet Inc. CL C,7.4,2749860,971608000.0,353.33,
BRK.A,Berkshire Hathaway CL A,6.35,1114,834219000.0,748850.09,
BRK.B,Berkshire Hathaway CL B,5.84,1531971,766583000.0,500.39,
BN,Brookfield Corp.,4.24,13073609,556805000.0,42.59,
DE,Deere & Co.,4.24,877900,556878000.0,634.33,
AMZN,Amazon.com Inc.,3.69,2030760,484011000.0,238.34,
ADI,Analog Devices,3.02,999671,397040000.0,397.17,Reduce 2.30%
GS,Goldman Sachs Group,2.77,359360,363446000.0,1011.37,
AAPL,Apple Inc.,2.7,1227290,355128000.0,289.36,
CAT,Caterpillar Inc.,2.67,328650,349979000.0,1064.9,
V,Visa Inc.,2.65,1013912,347863000.0,343.09,Add 0.95%
HD,Home Depot,2.48,922500,325347000.0,352.68,Add 0.27%
WSO,Watsco Inc.,1.9,597750,249100000.0,416.73,Add 2.68%
TXN,Texas Instruments,1.64,724000,215802000.0,298.07,
BLK,BlackRock Inc.,1.61,220200,211736000.0,961.56,
GOOGL,Alphabet Inc.,1.56,572000,204416000.0,357.37,
MSFT,Microsoft Corp.,1.53,537630,200546000.0,373.02,
DIS,Walt Disney Co.,1.49,2031665,195547000.0,96.25,
AXP,American Express,1.26,490450,165895000.0,338.25,
LOW,Lowe's Cos.,1.26,751980,165804000.0,220.49,Add 1.83%
PGR,Progressive Corp.,1.25,753750,164657000.0,218.45,
FNV,Franco Nevada Corp.,1.23,773500,161228000.0,208.44,Add 9.17%
LPLA,LPL Financial Holdings Inc.,1.2,559951,157727000.0,281.68,
JNJ,Johnson & Johnson,1.18,610800,155125000.0,253.97,
BX,Blackstone Group,1.1,1229000,144617000.0,117.67,
RLI,RLI Corp.,1.08,2394544,141446000.0,59.07,
GD,General Dynamics,1.05,391000,138508000.0,354.24,
NVO,Novo Nordisk A S,1.05,2869774,137577000.0,47.94,
KKR,KKR & Co. L.P.,1.01,1451800,133246000.0,91.78,
META,Meta Platforms Inc.,1.0,234163,131902000.0,563.29,Reduce 5.69%
SCHW,Charles Schwab Corp.,0.98,1394800,128698000.0,92.27,Add 0.79%
MRSH,Marsh,0.97,763500,127253000.0,166.67,
APO,Apollo Global Management,0.91,1012500,119789000.0,118.31,
ADM,Archer-Daniels-Midland,0.88,1505800,115044000.0,76.4,
LIN,Linde plc,0.85,215600,111883000.0,518.94,Add 5.38%
DEO,Diageo ADR,0.84,1372208,110299000.0,80.38,
MA,Mastercard Inc.,0.81,207540,106593000.0,513.6,
DG,Dollar General,0.76,869250,100059000.0,115.11,
BAM,Brookfield Asset Management,0.75,2193953,98399000.0,44.85,
HEI.A,HEICO Corp. CL A,0.75,379644,97914000.0,257.91,
MCO,Moody's Corp.,0.74,213890,96875000.0,452.92,
ODFL,Old Dominion Freight Line,0.71,429150,92954000.0,216.6,
NSC,Norfolk Southern Corp.,0.68,282500,88872000.0,314.59,
ITW,Illinois Tool Works,0.67,327500,88579000.0,270.47,
JPM,JPMorgan Chase & Co.,0.63,252550,82667000.0,327.33,
NVR,NVR Inc.,0.63,12097,82421000.0,6813.34,Add 0.08%
MSCI,MSCI Inc.,0.61,142850,80002000.0,560.04,
ECL,Ecolab Inc.,0.58,274300,76423000.0,278.61,
ROK,Rockwell Automation Inc.,0.58,154900,76688000.0,495.08,
SUNB,Sunbelt Rentals Holdings Inc,0.56,974361,72892000.0,74.81,Add 1.14%
SBUX,Starbucks Corp.,0.49,623818,63748000.0,102.19,
ROL,Rollins Inc.,0.48,1516525,63300000.0,41.74,Add 1.23%
THG,Hanover Insurance Group,0.46,281000,60168000.0,214.12,
ITIC,Investors Title Co.,0.44,213300,58376000.0,273.68,
CG,Carlyle Group,0.43,1327000,55880000.0,42.11,
TSN,Tyson Foods,0.4,913500,52298000.0,57.25,Add 2.70%
SPGI,S&P Global Inc.,0.37,117690,47930000.0,407.26,
AON,Aon Plc,0.34,135800,45044000.0,331.69,
FERG,Ferguson Enterprises Inc.,0.33,180200,42767000.0,237.33,Add 5.57%
UNP,Union Pacific,0.33,161028,43799000.0,272.0,Add 7.15%
CSCO,Cisco Systems,0.32,355500,41757000.0,117.46,
RTX,RTX Corp.,0.32,224000,42499000.0,189.73,
MELI,Mercadolibre Inc.,0.31,24000,40737000.0,1697.38,Add 340.37%
YUM,Yum! Brands Inc.,0.3,245213,39200000.0,159.86,
ALL,Allstate Corp.,0.28,154550,36774000.0,237.94,
COST,Costco Co.,0.28,39150,36624000.0,935.48,
MAR,Marriott Int'l.,0.28,99500,36874000.0,370.59,Add 6.13%
TMO,Thermo Fisher Scientific,0.28,73100,36649000.0,501.35,Add 8.94%
HGTY,Hagerty Inc.,0.27,3108000,35897000.0,11.55,
