ticker,issuer,portfolio_pct,shares,value,reported_price,activity
MSFT,Microsoft Corp.,10.77,1229855,594782000.0,483.62,
NVDA,NVIDIA Corp.,9.42,2788838,520118000.0,186.5,Reduce 16.07%
AMZN,Amazon.com Inc.,6.99,1672000,385931000.0,230.82,
JPM,JPMorgan Chase & Co.,5.12,878000,282909000.0,322.22,Reduce 7.87%
GOOG,Alphabet Inc. CL C,4.03,710145,222844000.0,313.8,
AAPL,Apple Inc.,3.91,793800,215802000.0,271.86,Add 3.93%
RHHBY,Roche Holding AG ADR,3.17,3392509,174952000.0,51.57,
GGG,Graco Inc.,3.06,2059774,168840000.0,81.97,
UNH,United Health Group Inc.,3.01,503583,166238000.0,330.11,Reduce 28.93%
LLY,Eli Lilly & Co.,2.97,152539,163931000.0,1074.68,
META,Meta Platforms Inc.,2.93,245000,161722000.0,660.09,Add 22.50%
TTC,Toro Co.,2.85,1999523,157402000.0,78.72,
V,Visa Inc.,2.82,444000,155715000.0,350.71,
WEC,WEC Energy Group,2.39,1250500,131878000.0,105.46,Add 1.63%
MSI,Motorola Solutions Inc.,2.3,331000,126879000.0,383.32,Add 14.73%
LNT,Alliant Energy,2.29,1948000,126639000.0,65.01,
NVT,nVent Electric plc,2.2,1192748,121625000.0,101.97,Reduce 2.15%
TSM,Taiwan Semiconductor S.A.,2.1,382000,116086000.0,303.89,
LFUS,Littelfuse Inc.,2.05,447254,113119000.0,252.92,
VZ,Verizon Communications,1.79,2421000,98607000.0,40.73,
SHW,Sherwin-Williams,1.78,304000,98505000.0,324.03,
FAST,Fastenal,1.73,2383501,95650000.0,40.13,
TECH,Bio-Techne Corp.,1.55,1453800,85498000.0,58.81,
CHRW,C.H. Robinson Worldwide,1.53,525000,84399000.0,160.76,
FUL,H.B. Fuller Co.,1.46,1352674,80430000.0,59.46,Add 7.13%
ECL,Ecolab Inc.,1.32,278015,72984000.0,262.52,
ROK,Rockwell Automation Inc.,1.27,180000,70033000.0,389.07,Reduce 28.00%
ENTG,Entegris Inc.,1.25,817000,68832000.0,84.25,Add 29.27%
WFC,Wells Fargo,1.13,669248,62374000.0,93.2,Reduce 35.37%
FISV,Fiserv Inc.,1.06,873395,58666000.0,67.17,
JNJ,Johnson & Johnson,0.99,265301,54904000.0,206.95,Reduce 34.61%
HRL,Hormel Foods Corp.,0.93,2171592,51467000.0,23.7,
TNC,Tennant Co.,0.81,603700,44493000.0,73.7,Reduce 23.19%
CRM,Salesforce.com,0.77,161277,42724000.0,264.91,
PIPR,Piper Sandler Companies,0.77,125500,42634000.0,339.71,
QCOM,QUALCOMM Inc.,0.73,236000,40368000.0,171.05,Reduce 18.90%
WK,Workiva Inc.,0.68,432857,37334000.0,86.25,
IDA,IDACORP Inc. Hldg. Co.,0.54,235000,29742000.0,126.56,Add 4.44%
ISRG,Intuitive Surgical Inc.,0.51,50000,28318000.0,566.36,Buy
MEDP,Medpace Holdings Inc.,0.51,50000,28083000.0,561.66,
PANW,Palo Alto Networks,0.51,151624,27929000.0,184.2,Add 116.61%
KHC,Kraft Heinz Co.,0.49,1115000,27039000.0,24.25,Reduce 26.40%
CGNX,Cognex Corp.,0.47,725000,26086000.0,35.98,Add 123.08%
CASY,Casey's Gen'l Stores,0.43,42748,23627000.0,552.7,
ZTS,Zoetis Inc.,0.41,180000,22648000.0,125.82,Buy
CLFD,Clearfield Inc.,0.23,440447,12839000.0,29.15,
