ticker,issuer,portfolio_pct,shares,value,reported_price,activity
FCNCA,First Citizens Bancshares,3.61,9339,20043000.0,2146.16,Add 1.95%
DLTR,Dollar Tree Inc.,2.99,135125,16622000.0,123.01,Reduce 7.80%
TCBI,Texas Capital Bancshares,2.95,180737,16364000.0,90.54,Add 2.11%
LASR,nLight Inc.,2.81,416717,15631000.0,37.51,
NVST,Envista Holdings Corp.,2.59,663643,14408000.0,21.71,
ATZ.TO,Aritzia Inc.,2.51,163216,13952000.0,85.48,Reduce 24.16%
AXS,Axis Capital Holdings Ltd.,2.51,130000,13922000.0,107.09,Reduce 12.16%
CACI,CACI International Inc.,2.51,26200,13960000.0,532.82,
MIR,Mirion Technologies Inc,2.47,585000,13701000.0,23.42,
CCK,Crown Holdings,2.2,118642,12217000.0,102.97,Reduce 11.22%
EVRG,Evergy Inc.,2.14,164000,11888000.0,72.49,Reduce 10.87%
BEPC,Brookfield Renewable Corp.,2.09,302300,11590000.0,38.34,Reduce 24.67%
CCJ,Cameco Corp.,2.07,125789,11508000.0,91.49,Reduce 15.46%
CSTM,Constellium SE,2.05,603379,11374000.0,18.85,Add 33.52%
PENG,Penguin Solutions Inc.,2.05,582782,11399000.0,19.56,Reduce 3.00%
CEVA,CEVA Inc.,1.98,511000,10997000.0,21.52,Add 29.37%
UHAL,U-Haul Holding Co.,1.98,217800,10979000.0,50.41,Add 38.02%
TRMB,Trimble Inc.,1.97,139656,10942000.0,78.35,
CNM,Core & Main Inc Class A,1.89,202000,10498000.0,51.97,Add 12.85%
RRX,Regal Rexnord Corp.,1.88,74600,10468000.0,140.32,Add 7.18%
CRC,California Resources Corp.,1.85,230000,10283000.0,44.71,Add 29.21%
RAMP,LiveRamp Holdings Inc.,1.83,345314,10142000.0,29.37,
ADEA,Adeia Inc,1.82,585000,10091000.0,17.25,Add 31.76%
PDFS,PDF Solutions Inc.,1.77,344000,9814000.0,28.53,Add 14.67%
VSEC,VSE Corp.,1.77,57000,9848000.0,172.77,Add 14.00%
NGD,OLD- New Gold Inc.,1.76,1124000,9790000.0,8.71,Reduce 26.92%
WMS,Advanced Drainage Systems,1.72,66000,9559000.0,144.83,
BWXT,BWX Technologies Inc.,1.7,54500,9420000.0,172.84,Reduce 16.15%
TFX,Teleflex,1.67,76000,9275000.0,122.04,Add 52.00%
CWCO,Consolidated Water Co. Ltd,1.66,262000,9246000.0,35.29,
LPLA,LPL Financial Holdings Inc.,1.66,25835,9227000.0,357.15,
PSN,Parsons Corp.,1.61,144613,8937000.0,61.8,Add 15.69%
DNN,Denison Mines Corp.,1.59,3327000,8850000.0,2.66,Add 15.04%
ZBIO,Zenas BioPharma Inc.,1.59,243812,8853000.0,36.31,
NEOG,Neogen Corp.,1.41,1116609,7805000.0,6.99,
PACK,Ranpak Holdings Corp. CL A,1.41,1446000,7823000.0,5.41,
VFC,V.F. Corp.,1.38,423975,7665000.0,18.08,
VICI,VICI Properties Inc.,1.36,268000,7536000.0,28.12,
SUI,Sun Communities Inc.,1.35,60312,7473000.0,123.91,Reduce 34.16%
UVE,Universal Insurance Holdings Inc.,1.31,215000,7267000.0,33.8,Reduce 11.89%
HNST,The Honest Company inc.,1.18,2548546,6575000.0,2.58,Reduce 15.04%
KRNT,Kornit Digital Ltd,1.16,447000,6428000.0,14.38,Add 128.06%
PL,Planet Labs PBC,1.11,313000,6172000.0,19.72,Reduce 56.83%
DBRG,DigitalBridge Group Inc.,1.1,399121,6123000.0,15.34,Reduce 56.24%
HLMN,Hillman Solutions Corp.,1.05,671000,5811000.0,8.66,
FND,Floor & Decor Holdings,1.03,94000,5724000.0,60.89,Buy
AMD,Advanced Micro Devices,0.96,25000,5354000.0,214.16,Reduce 53.70%
PVH,PVH Corp.,0.95,79000,5295000.0,67.03,Buy
ERII,Energy Recovery Inc.,0.92,377000,5086000.0,13.49,Buy
MAMA,Mama's Creations Inc,0.92,380000,5126000.0,13.49,
BB,BlackBerry Ltd.,0.91,1326833,5029000.0,3.79,Add 3.92%
NXE,Nexgen Energy Ltd,0.91,547655,5038000.0,9.2,Add 11.16%
JHX,James Hardie Industries PLC,0.85,228000,4731000.0,20.75,Add 21.28%
LEGN,Legend Biotech Corp.,0.79,200821,4366000.0,21.74,Reduce 14.84%
AMBA,Ambarella Inc.,0.7,55000,3896000.0,70.84,Reduce 15.38%
CERT,Certara Inc.,0.68,429000,3779000.0,8.81,
AMSC,American Superconductor Corp.,0.57,110432,3178000.0,28.78,
TFIN,Triumph Financial Inc.,0.57,50314,3151000.0,62.63,Buy
ORIC,ORIC Pharmaceuticals Inc.,0.55,370000,3027000.0,8.18,
TNDM,Tandem Diabetes Care Inc.,0.55,139000,3055000.0,21.98,Buy
TRNS,Transcat Inc.,0.55,54000,3063000.0,56.72,Buy
BBY,Best Buy Co. Inc.,0.54,45000,3012000.0,66.93,Buy
CRSR,Corsair Gaming Inc.,0.52,489000,2905000.0,5.94,Reduce 21.76%
GO,Grocery Outlet Holding Corp.,0.49,268000,2707000.0,10.1,Add 143.64%
ZVIA,Zevia PBC,0.34,812763,1886000.0,2.32,Reduce 32.27%
BRKR,Bruker Corp.,0.28,33000,1555000.0,47.12,Buy
FRMI,Fermi Inc.,0.28,193000,1544000.0,8.0,Buy
ALBO,OLD- Albireo Pharma Inc.,0.07,150750,372000.0,2.47,
