ticker,issuer,portfolio_pct,shares,value,reported_price,activity
RPRX,Royalty Pharma plc,6.52,3643716,174789000.0,47.97,Add 9.30%
C,Citigroup Inc.,5.98,1413870,160347000.0,113.41,Add 9.45%
GOOGL,Alphabet Inc.,5.73,533993,153555000.0,287.56,Reduce 8.19%
AMZN,Amazon.com Inc.,5.08,654419,136296000.0,208.27,Add 16.33%
QXO,Qxo Inc,4.91,6778389,131636000.0,19.42,Add 4.79%
NVDA,NVIDIA Corp.,4.62,711115,124019000.0,174.4,Add 11.32%
UNH,United Health Group Inc.,4.41,437141,118286000.0,270.59,Add 18.69%
ET,Energy Transfer LP,4.38,6088203,117502000.0,19.3,Add 15.46%
IAC,IAC Inc.,4.03,2699564,108064000.0,40.03,Add 13.71%
NCLH,Norwegian Cruise Line Hlgs Ltd.,4.01,5749640,107518000.0,18.7,Add 8.32%
META,Meta Platforms Inc.,3.65,171086,97884000.0,572.13,Add 19.56%
SDRL,Seadrill Ltd,3.65,2152685,97947000.0,45.5,Add 4.81%
CVS,CVS Health Corp.,3.63,1357159,97471000.0,71.82,Add 10.21%
COIN,Coinbase Global Inc.,2.8,430405,75153000.0,174.61,Add 140.55%
ADBE,Adobe Inc.,2.69,297279,72263000.0,243.08,Buy
CROX,Crocs Inc.,2.61,842842,69973000.0,83.02,Add 11.08%
BIIB,Biogen Inc.,2.6,379741,69618000.0,183.33,Reduce 34.11%
PGEN,Precigen Inc.,2.57,17817387,68953000.0,3.87,Reduce 4.58%
UAL,United Airlines Holdings Inc.,2.51,732020,67397000.0,92.07,Add 11.91%
ILMN,Illumina Inc.,2.5,544780,67150000.0,123.26,Reduce 5.38%
NE,Noble Corp.,2.47,1347854,66139000.0,49.07,Add 5.21%
GM,General Motors,2.07,744630,55475000.0,74.5,Reduce 3.50%
CHYM,Chime Financial Inc Cl A,2.01,2882016,53980000.0,18.73,Add 41.61%
FISV,Fiserv Inc.,2.01,968194,54025000.0,55.8,Add 273.59%
UBS,UBS AG,1.81,1241955,48523000.0,39.07,Add 4.60%
IBIT,Ishares Bitcoin Trust ETF,1.58,1100000,42262000.0,38.42,Buy
OMF,OneMain Holdings,1.56,781371,41796000.0,53.49,Reduce 5.28%
JD,JD.com Inc.,1.54,1399468,41382000.0,29.57,Add 66.41%
EXPE,Expedia Group Inc.,1.44,167784,38740000.0,230.89,Reduce 4.82%
DAL,Delta Air Lines Inc.,1.37,552514,36731000.0,66.48,Reduce 18.80%
SOFI,SoFi Technologies Inc.,0.79,1326246,21061000.0,15.88,Add 10.66%
FBTC,Fidelity Wise Origin Bitcoin,0.78,353831,20887000.0,59.03,Reduce 54.74%
TEM,Tempus Ai Inc,0.75,442199,19996000.0,45.22,Add 15.72%
PLAY,Dave & Buster's Ent. Inc.,0.47,1151658,12472000.0,10.83,Reduce 30.76%
JPM,JPMorgan Chase & Co.,0.32,29362,8637000.0,294.16,Reduce 0.06%
APA,APA Corp.,0.08,50000,2122000.0,42.44,
LEN.B,Lennar Corp. CL B,0.04,12500,1052000.0,84.16,
SPY,SPDR S&P 500 ETF Trust,0.03,1115,726000.0,651.12,Add 3.72%
