ticker,issuer,portfolio_pct,shares,value,reported_price,activity
BRK.B,Berkshire Hathaway CL B,14.41,249211,125266000.0,502.65,Reduce 0.41%
DG,Dollar General,14.14,925955,122939000.0,132.77,Add 0.01%
BRK.A,Berkshire Hathaway CL A,10.07,116,87557000.0,754801.72,
DECK,Deckers Outdoor,7.63,639698,66317000.0,103.67,Add 70.66%
NEM,Newmont Corp.,7.62,663239,66224000.0,99.85,Reduce 2.21%
DLTR,Dollar Tree Inc.,7.25,512660,63062000.0,123.01,Add 1.49%
KGC,Kinross Gold Corp.,6.84,2112933,59500000.0,28.16,Reduce 18.41%
FIVE,Five Below Inc.,5.75,265234,49959000.0,188.36,Reduce 13.98%
OLN,Olin Corp.,4.66,1943440,40482000.0,20.83,Add 1.00%
VLO,Valero Energy,3.72,198658,32340000.0,162.79,Reduce 0.44%
ALK,Alaska Air Group,2.37,409282,20587000.0,50.3,Add 8.11%
SBUX,Starbucks Corp.,2.34,241470,20334000.0,84.21,Add 1.05%
CMI,Cummins Inc.,2.33,39774,20303000.0,510.46,Reduce 0.41%
DIS,Walt Disney Co.,1.91,145782,16586000.0,113.77,Add 0.17%
DINO,HF Sinclair Corp.,1.9,358527,16521000.0,46.08,Add 0.51%
EQNR,Equinor ASA,1.63,598385,14140000.0,23.63,Add 4.30%
PSKY,Paramount Skydance Corp.,1.02,659061,8831000.0,13.4,Reduce 0.03%
XOM,Exxon Mobil Corp.,0.8,57556,6926000.0,120.33,Reduce 0.49%
TRV,Travelers Companies Inc.,0.64,19100,5540000.0,290.05,
MRK,Merck & Co.,0.54,44443,4678000.0,105.26,
COST,Costco Co.,0.34,3447,2972000.0,862.2,Add 0.35%
GE,GE Aerospace,0.33,9352,2881000.0,308.06,
NXPI,NXP Semiconductors NV,0.33,13298,2886000.0,217.03,Reduce 0.72%
GLDM,SPDR Gold Minishares Trust,0.24,23979,2047000.0,85.37,Add 20.72%
AXP,American Express,0.15,3441,1273000.0,369.95,Reduce 16.20%
GEV,Ge Vernova Inc,0.15,1994,1303000.0,653.46,Reduce 41.97%
SMHI,SEACOR Marine Holdings Inc.,0.14,208175,1253000.0,6.02,Reduce 1.56%
AAPL,Apple Inc.,0.13,4140,1126000.0,271.98,
KO,Coca Cola Co.,0.12,15328,1072000.0,69.94,
CVX,Chevron Corp.,0.11,6389,974000.0,152.45,
PHYS,Sprott Physical Gold Trust,0.09,23869,788000.0,33.01,
OVV,Ovintiv Inc.,0.07,16487,646000.0,39.18,
GEHC,GE HealthCare Technologies Inc.,0.04,4581,376000.0,82.08,
SGOV,Ishares 0 3 Month Treasury B,0.04,3541,355000.0,100.25,Reduce 36.37%
SHEL,Shell plc,0.04,4968,365000.0,73.47,
SYF,Synchrony Financial,0.04,4437,370000.0,83.39,
FLEX,Flex Ltd.,0.03,4485,271000.0,60.42,Reduce 11.89%
GOOGL,Alphabet Inc.,0.03,700,219000.0,312.86,Buy
SIVR,Abrdn Physical Silver Shares,0.03,4245,287000.0,67.61,Buy
