ticker,issuer,portfolio_pct,shares,value,reported_price,activity
TEVA,Teva Pharmaceutical Industries Ltd.,3.97,3804497,128896000.0,33.88,Reduce 2.09%
LUV,Southwest Airlines,3.87,2441564,125545000.0,51.42,Add 21.96%
BAC,Bank of America Corp.,3.58,2038298,116142000.0,56.98,Reduce 1.32%
AAL,American Airlines Group Inc.,3.31,5952846,107568000.0,18.07,Buy
BRK.B,Berkshire Hathaway CL B,3.14,203903,102031000.0,500.39,Add 2.21%
QCOM,QUALCOMM Inc.,3.12,547812,101230000.0,184.79,Add 28.96%
ELV,Elevance Health Inc.,2.9,243452,94150000.0,386.73,Buy
DIS,Walt Disney Co.,2.87,967830,93154000.0,96.25,Reduce 0.27%
OC,Owens Corning,2.86,584629,92933000.0,158.96,Reduce 1.30%
PFE,Pfizer Inc.,2.83,3820117,91988000.0,24.08,Add 33.09%
VST,Vistra Corp.,2.82,577385,91591000.0,158.63,Add 20.35%
TEL,TE Connectivity plc,2.78,447360,90192000.0,201.61,Buy
QXO,Qxo Inc,2.77,5198401,89828000.0,17.28,Add 32.28%
BA,Boeing Co.,2.71,407058,88116000.0,216.47,Add 14.66%
C,Citigroup Inc.,2.65,615635,86164000.0,139.96,Reduce 20.42%
UPS,United Parcel Service,2.65,801772,86190000.0,107.5,Add 10.12%
INCY,Incyte Corp.,2.64,757723,85895000.0,113.36,Reduce 1.32%
SW,Smurfit Westrock Plc,2.61,1835817,84925000.0,46.26,Add 21.65%
AMZN,Amazon.com Inc.,2.57,350136,83451000.0,238.34,Reduce 7.59%
EQT,EQT Corp.,2.56,1565288,83226000.0,53.17,Add 26.69%
GOOGL,Alphabet Inc.,2.56,232766,83184000.0,357.37,Reduce 8.96%
BP,BP plc,2.55,2241317,82817000.0,36.95,Add 34.08%
TMO,Thermo Fisher Scientific,2.55,165318,82884000.0,501.36,Buy
OMC,Omnicom Group,2.53,1129610,82269000.0,72.83,Add 34.00%
NXPI,NXP Semiconductors NV,2.48,286699,80571000.0,281.03,Reduce 30.18%
REGN,Regeneron Pharmaceuticals,2.44,126994,79186000.0,623.54,Reduce 15.88%
GM,General Motors,2.43,1024187,78944000.0,77.08,Reduce 1.27%
PEG,Public Serv. Enterprise Inc.,2.42,969513,78686000.0,81.16,Reduce 1.54%
MHK,Mohawk Industries,2.37,634336,76964000.0,121.33,Reduce 1.28%
WFC,Wells Fargo,2.27,890946,73628000.0,82.64,Reduce 1.27%
GEHC,GE HealthCare Technologies Inc.,2.21,1119193,71640000.0,64.01,Reduce 6.17%
CSX,CSX Corp.,2.15,1472441,69985000.0,47.53,Reduce 26.46%
NFG,National Fuel Gas,2.15,902778,69703000.0,77.21,Buy
ZBH,Zimmer Biomet Holdings,2.11,794602,68407000.0,86.09,Reduce 24.48%
GPC,Genuine Parts,2.1,579343,68351000.0,117.98,Buy
ORCL,Oracle Corp.,2.05,454708,66637000.0,146.55,Buy
MDT,Medtronic plc,2.02,838573,65602000.0,78.23,Add 1.62%
KD,Kyndryl Holdings Inc,0.87,2504350,28324000.0,11.31,Reduce 39.62%
PKG,Packaging Corp. of America,0.45,61025,14541000.0,238.28,Add 11.46%
CVX,Chevron Corp.,0.07,13475,2234000.0,165.79,Add 36.73%
