ticker,issuer,portfolio_pct,shares,value,reported_price,activity
TSM,Taiwan Semiconductor S.A.,9.72,4881008,2331023000.0,477.57,Reduce 12.29%
AMZN,Amazon.com Inc.,9.62,9683558,2307979000.0,238.34,Reduce 3.16%
NVDA,NVIDIA Corp.,9.34,11198773,2240762000.0,200.09,Reduce 6.77%
GOOGL,Alphabet Inc.,8.65,5805687,2074778000.0,357.37,Reduce 45.39%
META,Meta Platforms Inc.,6.63,2823180,1590269000.0,563.29,Reduce 8.54%
LRCX,Lam Research,5.72,3163495,1370837000.0,433.33,Reduce 18.89%
SE,Sea Ltd,5.02,12559152,1203544000.0,95.83,Reduce 18.53%
AMAT,Applied Materials,4.92,1632210,1180088000.0,723.0,Reduce 1.49%
GEV,Ge Vernova Inc,3.91,797511,936964000.0,1174.86,Reduce 18.04%
MSFT,Microsoft Corp.,3.53,2266913,845604000.0,373.02,Reduce 9.32%
CPAY,Corpay Inc.,2.99,2149877,716490000.0,333.27,Add 22.70%
AVGO,Broadcom Inc.,2.76,1754062,662597000.0,377.75,Reduce 51.07%
CBRS,Cerebras Systems Inc   A,2.76,2999000,662779000.0,221.0,Buy
CPNG,Coupang Inc.,2.64,36467972,633449000.0,17.37,Add 5.41%
INTC,Intel Corp.,2.48,4252690,593803000.0,139.63,Add 159.52%
SPOT,Spotify Technology S.A.,2.24,1171427,537837000.0,459.13,Reduce 25.89%
TTWO,Take-Two Interactive Software,1.89,1809348,452301000.0,249.98,Reduce 9.53%
RDDT,Reddit Inc Cl A,1.83,2528819,438952000.0,173.58,Add 1.15%
AMD,Advanced Micro Devices,1.63,674727,391956000.0,580.91,Buy
XYZ,Block Inc.,1.45,4576007,347777000.0,76.0,Add 14.40%
APO,Apollo Global Management,1.34,2723110,322171000.0,118.31,Reduce 17.31%
STX,Seagate Technology,1.15,285100,275122000.0,965.0,Buy
V,Visa Inc.,1.14,798697,274025000.0,343.09,Buy
MELI,Mercadolibre Inc.,1.08,153126,259915000.0,1697.39,Add 13.42%
FWONK,Liberty Media Corp Formula One Series C,0.9,2278555,216782000.0,95.14,Reduce 15.04%
NU,Nu Holdings Ltd,0.61,11032555,147395000.0,13.36,
WLTH,Wealthfront Corp,0.57,15156877,135502000.0,8.94,
UNH,United Health Group Inc.,0.52,297452,123630000.0,415.63,Reduce 15.12%
CHYM,Chime Financial Inc Cl A,0.45,5284045,108217000.0,20.48,Reduce 52.32%
EQPT,Equipmentshare.com Inc A,0.38,4579646,90036000.0,19.66,
SHW,Sherwin-Williams,0.37,257083,88519000.0,344.32,
DHR,Danaher Corp.,0.36,456000,86859000.0,190.48,Buy
NOW,ServiceNow Inc.,0.36,873485,86720000.0,99.28,Reduce 41.77%
SPCX,Space Exploration Technologies Corp.,0.27,375000,64073000.0,170.86,Buy
BULL,Webull Corp,0.18,6724137,43841000.0,6.52,
RERE,AiHuiShou International Co. Ltd. ADS,0.16,9831218,38047000.0,3.87,
APLD,Applied Digital Corp,0.14,885000,33011000.0,37.3,Buy
CIFR,Cipher Mining Inc,0.09,927000,22712000.0,24.5,Buy
CORZ,Core Scientific Inc,0.09,817000,20907000.0,25.59,Buy
UBER,Uber Technologies Inc.,0.05,151178,10909000.0,72.16,
DASH,DoorDash Inc.,0.02,25337,4675000.0,184.51,
JD,JD.com Inc.,0.02,201500,5134000.0,25.48,Reduce 41.48%
PONY,Pony Ai Inc,0.01,310287,2156000.0,6.95,Reduce 89.30%
ARX,Accelerant Holdings Cl A,0.0,75000,879000.0,11.72,
GEMI,Gemini Space Station Inc A,0.0,70000,298000.0,4.26,
MNTN,Mntn Inc A,0.0,20000,184000.0,9.2,
