ticker,issuer,portfolio_pct,shares,value,reported_price,activity
CRM,Salesforce.com,11.29,2994509,793275000.0,264.91,Add 3.31%
AMZN,Amazon.com Inc.,11.15,3394300,783472000.0,230.82,Reduce 3.03%
RKT,Rocket Companies Inc.,10.85,39380652,762409000.0,19.36,Add 55.07%
BLK,BlackRock Inc.,10.59,695000,743886000.0,1070.34,Buy
META,Meta Platforms Inc.,9.85,1047974,691757000.0,660.09,Add 36.34%
V,Visa Inc.,8.58,1718250,602607000.0,350.71,Add 9.73%
MDB,MongoDB Inc.,8.4,1406800,590420000.0,419.69,Reduce 33.59%
RBLX,Roblox Corp.,6.89,5975821,484221000.0,81.03,Add 39.52%
DIS,Walt Disney Co.,4.98,3077931,350176000.0,113.77,Reduce 29.92%
LLYVK,Liberty Media Corp. Series C Live,4.27,3603988,299708000.0,83.16,Add 2.51%
TOST,Toast Inc.,4.05,8015277,284622000.0,35.51,Add 135.94%
SSD,Simpson Manufacturing,3.38,1472142,237707000.0,161.47,Add 21.87%
LLYVA,Liberty Media Corp. Series A Live,2.09,1799319,146644000.0,81.5,Add 4.64%
LYV,Live Nation Inc.,1.67,823066,117287000.0,142.5,Add 28.43%
NSIT,Insight Enterprises Inc.,1.41,1216592,99116000.0,81.47,Reduce 46.45%
CBRE,CBRE Group,0.54,234591,37720000.0,160.79,
