ticker,issuer,portfolio_pct,shares,value,reported_price,activity
BRK.B,Berkshire Hathaway CL B,9.33,278850,133625000.0,479.2,Reduce 2.79%
GOOG,Alphabet Inc. CL C,6.54,326750,93732000.0,286.86,Reduce 6.08%
DHR,Danaher Corp.,6.32,477750,90581000.0,189.6,Reduce 7.04%
V,Visa Inc.,5.6,265330,80193000.0,302.24,Reduce 1.94%
MA,Mastercard Inc.,5.13,147000,73450000.0,499.66,Reduce 5.71%
AON,Aon Plc,4.82,213860,69030000.0,322.78,Reduce 2.23%
MSFT,Microsoft Corp.,4.38,169450,62725000.0,370.17,Add 16.08%
META,Meta Platforms Inc.,4.22,105710,60480000.0,572.13,Reduce 2.76%
TMO,Thermo Fisher Scientific,4.15,121000,59475000.0,491.53,Reduce 10.34%
VMC,Vulcan Materials,4.07,214200,58327000.0,272.3,Add 1.90%
IEX,IDEX Corp.,3.5,264300,50098000.0,189.55,Reduce 32.49%
AMZN,Amazon.com Inc.,3.23,222500,46340000.0,208.27,
HEI.A,HEICO Corp. CL A,2.78,188979,39892000.0,211.09,Add 16.10%
TECH,Bio-Techne Corp.,2.38,653200,34136000.0,52.26,Reduce 18.65%
ACN,Accenture,2.36,170700,33848000.0,198.29,Add 6.09%
ADI,Analog Devices,2.36,106350,33834000.0,318.14,Reduce 19.92%
EFX,Equifax Inc.,2.36,187605,33782000.0,180.07,Reduce 12.69%
TXN,Texas Instruments,2.17,160100,31082000.0,194.14,Reduce 3.03%
SIRI,SiriusXM Holdings Inc,2.08,1293000,29842000.0,23.08,Reduce 6.58%
LBRDK,Liberty Broadband Corp. CL C,2.02,576000,28973000.0,50.3,Reduce 11.52%
LH,Labcorp Holdings Inc.,1.84,99050,26428000.0,266.81,Reduce 0.70%
ODFL,Old Dominion Freight Line,1.8,132000,25793000.0,195.4,Reduce 36.78%
MLM,Martin Marietta,1.63,39775,23415000.0,588.69,Reduce 3.63%
GPN,Global Payments Inc.,1.57,335000,22546000.0,67.3,Reduce 33.66%
CSGP,CoStar Group Inc.,1.46,517025,20857000.0,40.34,Reduce 28.18%
IDXX,IDEXX Laboratories,1.38,35300,19835000.0,561.9,
CRM,Salesforce.com,1.06,81500,15214000.0,186.67,Reduce 6.86%
ACIW,ACI Worldwide Inc.,1.05,367700,15079000.0,41.01,
MELI,Mercadolibre Inc.,0.97,8000,13832000.0,1729.0,Add 116.22%
PRM,Perimeter Solutions SA,0.87,509400,12440000.0,24.42,
LKQ,LKQ Corp.,0.84,408000,11983000.0,29.37,Reduce 7.48%
EEFT,Euronet Worldwide Inc.,0.74,160000,10619000.0,66.37,
IR,Ingersoll Rand Inc.,0.74,133200,10672000.0,80.12,Buy
ORCL,Oracle Corp.,0.56,55000,8091000.0,147.11,Reduce 21.43%
ASML,ASML Holding NV,0.51,5500,7265000.0,1320.91,Buy
TSM,Taiwan Semiconductor S.A.,0.47,20000,6759000.0,337.95,Buy
LBRDA,Liberty Broadband Corp. CL A,0.46,130000,6529000.0,50.22,Reduce 7.14%
NVDA,NVIDIA Corp.,0.43,35000,6104000.0,174.4,Buy
CDW,CDW Corp.,0.31,36250,4387000.0,121.02,Reduce 35.56%
LIN,Linde plc,0.25,7200,3569000.0,495.69,
VLTO,Veralto Corp.,0.25,40000,3537000.0,88.43,Add 5.26%
POOL,Pool Corp.,0.21,15000,3035000.0,202.33,Buy
RGEN,Repligen Corp.,0.21,25500,3004000.0,117.8,Buy
SPGI,S&P Global Inc.,0.21,7050,2999000.0,425.39,Reduce 1.26%
CMCSA,Comcast Corp.,0.09,47000,1349000.0,28.7,Reduce 44.71%
FTV,Fortive Corp.,0.09,22500,1244000.0,55.29,Reduce 50.44%
APH,Amphenol Corp.,0.08,9200,1162000.0,126.3,Buy
FERG,Ferguson Enterprises Inc.,0.08,5200,1213000.0,233.27,Buy
CHTR,Charter Communications,0.01,650,140000.0,215.38,
