ticker,issuer,portfolio_pct,shares,value,reported_price,activity
JOE,St. Joe Co.,79.67,19210167,1206398000.0,62.8,Reduce 1.09%
EPD,Enterprise Products Partners LP,13.63,5455800,206447000.0,37.84,Add 0.10%
OZK,Bank OZK,2.79,921252,42276000.0,45.89,Add 0.83%
BRK.B,Berkshire Hathaway CL B,1.6,50452,24177000.0,479.21,Add 5.08%
WRB,W.R. Berkley Corp.,1.12,256350,16991000.0,66.28,Reduce 1.46%
PGR,Progressive Corp.,0.87,66400,13163000.0,198.24,Add 159.38%
KHC,Kraft Heinz Co.,0.16,105300,2368000.0,22.49,Buy
BRK.A,Berkshire Hathaway CL A,0.09,2,1436000.0,718000.0,Add 100.00%
AAPL,Apple Inc.,0.04,2400,609000.0,253.75,
HOMB,Home Bancshares Inc.,0.02,12100,326000.0,26.94,Buy
