ticker,issuer,portfolio_pct,shares,value,reported_price,activity
IEP,Icahn Enterprises,48.49,549400539,4147974000.0,7.55,
CVI,CVR Energy Inc.,28.01,71201875,2395943000.0,33.65,Add 1.11%
UAN,CVR Partners LP,6.17,4164274,527489000.0,126.67,
CTRI,Centuri Holdings Inc,4.9,14336044,418756000.0,29.21,
IFF,International Flavors & Fragrances Inc.,3.63,4275000,310151000.0,72.55,
SATS,EchoStar Corp.,1.92,1404542,164430000.0,117.07,Reduce 58.13%
AEP,American Electric Power,1.85,1205300,157991000.0,131.08,
JBLU,JetBlue Airways Corp.,1.74,33621735,148608000.0,4.42,
MNRO,Monro Inc.,0.95,5078573,81460000.0,16.04,
SD,SandRidge Energy Inc.,0.94,4947701,80697000.0,16.31,Add 0.74%
CZR,Caesars Entertainment,0.75,2440109,64492000.0,26.43,
BLCO,Bausch + Lomb Corp,0.65,3500000,55650000.0,15.9,
