ticker,issuer,portfolio_pct,shares,value,reported_price,activity
MSFT,Microsoft Corp.,5.98,1150498,556404000.0,483.62,Add 23.46%
NVDA,NVIDIA Corp.,5.98,2986355,556955000.0,186.5,Add 39.33%
AMZN,Amazon.com Inc.,5.91,2382650,549963000.0,230.82,Add 6.53%
TSM,Taiwan Semiconductor S.A.,5.41,1658650,504047000.0,303.89,Add 62.70%
GOOG,Alphabet Inc. CL C,3.85,1141503,358204000.0,313.8,Buy
PM,Philip Morris Intl.,3.75,2177027,349195000.0,160.4,Add 34.21%
COF,Capital One Financial,3.37,1296397,314195000.0,242.36,Add 19.60%
UNP,Union Pacific,3.26,1313207,303771000.0,231.32,Add 17.71%
AMAT,Applied Materials,3.12,1131276,290727000.0,256.99,Buy
BSX,Boston Scientific,3.02,2944254,280735000.0,95.35,Buy
ASML,ASML Holding NV,3.0,261003,279237000.0,1069.86,Add 37.09%
V,Visa Inc.,2.93,776863,272454000.0,350.71,Buy
RTX,RTX Corp.,2.7,1368842,251046000.0,183.4,Add 0.68%
TECH,Bio-Techne Corp.,2.43,3850923,226473000.0,58.81,Add 27.82%
GFL,Gfl Environmental Inc Sub Vt,2.32,5023417,215761000.0,42.95,Add 216.54%
NTRA,Natera Inc.,2.32,944028,216267000.0,229.09,Reduce 29.17%
MNST,Monster Beverage Corp.,2.22,2693291,206495000.0,76.67,Add 100.70%
CPT,Camden Property Trust,2.17,1837790,202304000.0,110.08,Buy
NU,Nu Holdings Ltd,2.11,11714564,196102000.0,16.74,Reduce 44.19%
CVNA,Carvana Co.,2.09,461874,194920000.0,422.02,Add 112.31%
DKS,Dick's Sporting Goods Inc.,1.77,834249,165156000.0,197.97,Add 56.52%
SWX,Southwest Gas Holdings Inc.,1.76,2048053,163885000.0,80.02,Add 4.84%
ALAB,Astera Labs Inc,1.74,975959,162361000.0,166.36,Reduce 5.47%
WVE,Wave Life Sciences Ltd.,1.69,9280237,157764000.0,17.0,Add 10.59%
AGX,Argan Inc.,1.48,438858,137503000.0,313.32,Buy
COMP,Compass Inc.,1.43,12637206,133575000.0,10.57,Buy
SCHW,Charles Schwab Corp.,1.34,1253090,125196000.0,99.91,Add 44.02%
BTU,Peabody Energy,1.3,4067173,120795000.0,29.7,Reduce 10.85%
KO,Coca Cola Co.,1.17,1562287,109219000.0,69.91,Add 7103.13%
LRCX,Lam Research,1.16,633084,108371000.0,171.18,Add 3722.97%
SGI,Somnigroup International Inc.,1.1,1141820,101942000.0,89.28,Reduce 0.91%
CDTX,OLD- Cidara Therapeutics Inc.,1.08,455978,100721000.0,220.89,Add 9.20%
SHW,Sherwin-Williams,0.99,284317,92127000.0,324.03,Reduce 25.85%
CART,Maplebear Inc,0.94,1938835,87209000.0,44.98,Reduce 2.57%
DASH,DoorDash Inc.,0.87,359125,81335000.0,226.48,Add 6200.44%
DIS,Walt Disney Co.,0.86,706959,80431000.0,113.77,Reduce 56.37%
NAMS,Newamsterdam Pharma Co Nv,0.71,1894226,66449000.0,35.08,Add 25.88%
PCVX,Vaxcyte Inc.,0.67,1354237,62484000.0,46.14,Add 5.01%
MELI,Mercadolibre Inc.,0.57,26149,52671000.0,2014.26,Add 52.06%
DDOG,DATADOG Inc.,0.56,386254,52527000.0,135.99,Add 13.13%
SNOW,Snowflake Inc.,0.53,225835,49539000.0,219.36,Reduce 19.89%
IVVD,Invivyd Inc.,0.5,18970913,46858000.0,2.47,
MMSI,Merit Medical Systems Inc.,0.46,486166,42851000.0,88.14,Reduce 69.81%
CTRI,Centuri Holdings Inc,0.45,1672863,42240000.0,25.25,Buy
RBLX,Roblox Corp.,0.45,517798,41957000.0,81.03,Add 25.82%
CNTA,Centessa Pharmaceuticals ADR,0.44,1643724,41110000.0,25.01,Buy
FLUT,Flutter Entertainment Plc,0.43,187022,40217000.0,215.04,Add 39.62%
MDLN,Medline Inc Cl A,0.36,796077,33435000.0,42.0,Buy
CPNG,Coupang Inc.,0.35,1368720,32288000.0,23.59,Reduce 34.00%
SAIL,Sailpoint Inc,0.21,966050,19543000.0,20.23,
QURE,uniQure NV,0.17,661820,15837000.0,23.93,Buy
ACHC,Acadia Healthcare Co.,0.14,905419,12848000.0,14.19,Reduce 69.88%
STUB,Stubhub Holdings Inc Class A,0.14,931473,12603000.0,13.53,
EVH,Evolent Health Inc.,0.11,2539930,10160000.0,4.0,Add 6.04%
GUTS,Fractyl Health Inc,0.1,4248492,9347000.0,2.2,
NTSK,Netskope Inc Cl A,0.09,465736,8169000.0,17.54,
RCKT,Rocket Pharmaceuticals Inc.,0.09,2513110,8821000.0,3.51,Reduce 70.32%
FDX,FedEx Corp.,0.08,25023,7228000.0,288.85,Add 67.96%
