ticker,issuer,portfolio_pct,shares,value,reported_price,activity
FCNCA,First Citizens Bancshares,7.33,266012,570910000.0,2146.18,Add 14.60%
WBD,Warner Bros. Discovery Inc.,6.5,17572000,506425000.0,28.82,Reduce 21.68%
CRM,Salesforce.com,6.18,1817000,481341000.0,264.91,Add 18.60%
IQV,IQVIA Holdings Inc.,6.1,2106400,474804000.0,225.41,Reduce 20.81%
KDP,Keurig Dr Pepper Inc.,5.96,16565598,464002000.0,28.01,Add 38.66%
LAD,Lithia Motors Inc.,5.59,1309100,435053000.0,332.33,
ICE,Intercontinental Exchange Inc.,5.22,2511853,406820000.0,161.96,Add 31.45%
ABNB,Airbnb Inc.,4.89,2804900,380681000.0,135.72,Reduce 13.35%
COF,Capital One Financial,4.47,1435097,347810000.0,242.36,Reduce 4.62%
SCHW,Charles Schwab Corp.,4.14,3229240,322633000.0,99.91,Reduce 4.68%
GOOGL,Alphabet Inc.,4.13,1028320,321864000.0,313.0,Reduce 34.49%
PAYC,Paycom Software Inc.,4.04,1974700,314688000.0,159.36,Add 91.03%
PSX,Phillips 66,3.85,2322700,299721000.0,129.04,Reduce 27.12%
EFX,Equifax Inc.,3.54,1271000,275782000.0,216.98,
ALLY,Ally Financial Inc.,3.52,6047800,273905000.0,45.29,
CBRE,CBRE Group,3.49,1689752,271695000.0,160.79,
COP,ConocoPhillips,3.3,2744912,256951000.0,93.61,Reduce 18.47%
DE,Deere & Co.,3.14,525700,244750000.0,465.57,
CNC,Centene Corp.,3.1,5864000,241304000.0,41.15,
TRGP,Targa Resources Corp.,2.81,1186000,218817000.0,184.5,Buy
CRL,Charles River Labs,2.57,1004000,200278000.0,199.48,Add 22.14%
ICLR,ICON plc,2.45,1049000,191149000.0,182.22,Add 10.54%
MOH,Molina Healthcare Inc.,1.93,867000,150459000.0,173.54,
APA,APA Corp.,1.76,5605200,137103000.0,24.46,Reduce 25.28%
