ticker,issuer,portfolio_pct,shares,value,reported_price,activity
EXE,Expand Energy Corp.,12.31,5062363,558682000.0,110.36,
TRMD,Torm Plc,11.62,26425059,527288000.0,19.95,Reduce 34.88%
AU,AngloGold Ashanti Ltd.,7.23,3847991,328157000.0,85.28,Reduce 8.06%
GTX,Garrett Motion Inc.,6.57,17094816,297963000.0,17.43,Reduce 46.40%
INDV,Indivior Pharmaceuticals Inc.,5.62,7108644,255059000.0,35.88,Reduce 97.24%
VNOM,Viper Energy Inc.,5.35,6285062,242792000.0,38.63,
TDS,Telephone & Data Systems,3.33,3688386,151224000.0,41.0,
B,Barrick Mining Corp.,2.86,2975118,129566000.0,43.55,Reduce 9.90%
TLN,Talen Energy Corp,2.73,331117,124116000.0,374.84,Add 13.74%
CORZ,Core Scientific Inc,2.68,8350708,121586000.0,14.56,Add 30.47%
NOK,Nokia Corp.,2.67,18752229,121327000.0,6.47,
FTAI,FTAI Aviation Ltd.,2.24,517328,101836000.0,196.85,Reduce 11.59%
ITUB,ita Unibanco Holding S.A.,2.18,13822747,98971000.0,7.16,Add 9.13%
LBTYA,Liberty Global Ltd CL A,2.1,8551191,95260000.0,11.14,
CBL,CBL & Associates Pptys Inc.,2.05,2517576,93150000.0,37.0,Reduce 16.22%
AERO,Grupo Aeromexico Sab De Cv,1.83,3776986,82943000.0,21.96,Buy
TAC,TransAlta Corp.,1.79,6415253,81247000.0,12.66,
STKL,SunOpta Inc.,1.74,20726126,78883000.0,3.81,
NU,Nu Holdings Ltd,1.65,4479175,74981000.0,16.74,Reduce 0.88%
FCX,Freeport-McMoran Inc.,1.56,1390053,70601000.0,50.79,Reduce 7.63%
KRC,Kilroy Realty Corp.,1.52,1850011,69135000.0,37.37,
CX,Cemex,1.46,5749324,66060000.0,11.49,Reduce 44.98%
RWAY,Runway Growth Finance Corp,1.38,7029667,62775000.0,8.93,Reduce 15.10%
BLCO,Bausch + Lomb Corp,1.27,3382739,57777000.0,17.08,Add 4.23%
GRAB,Grab Holdings Ltd   Cl A,1.23,11207699,55926000.0,4.99,Reduce 7.33%
XP,XP Inc.,1.2,3320159,54351000.0,16.37,Add 63.32%
LILAK,Liberty LiLAC Group C,0.95,5748780,42886000.0,7.46,Reduce 13.81%
ECVT,Ecovyst Inc.,0.91,4254503,41396000.0,9.73,Add 48.81%
AD,Array Digital Infrastructure Inc.,0.86,724444,38845000.0,53.62,
VIST,"Vista Oil & Gas, S.A.B. de C.V.",0.84,782250,38064000.0,48.66,Reduce 57.52%
SBLK,Star Bulk Carriers Corp.,0.83,1962892,37727000.0,19.22,
YMM,Full Truck Alliance  Spn ADR,0.83,3519764,37767000.0,10.73,Reduce 7.32%
BZ,Kanzhun Ltd,0.68,1523231,31043000.0,20.38,Reduce 7.32%
CRC,California Resources Corp.,0.68,694502,31051000.0,44.71,
TEO,Telecom Argentina S.A.,0.6,2347508,27255000.0,11.61,Reduce 10.72%
VALE,Vale SA,0.58,2023706,26369000.0,13.03,Reduce 0.49%
TX,Ternium S.A.,0.55,658565,25151000.0,38.19,Reduce 26.62%
KRSP,Rice Acquisition Corp 3 A,0.54,2400000,24660000.0,10.28,Buy
OCSL,Oaktree Specialty Lending Corp,0.52,1852456,23600000.0,12.74,
INFY,Infosys Ltd.,0.43,1094752,19508000.0,17.82,Buy
ONIT,Onity Group Inc.,0.39,390835,17896000.0,45.79,Buy
SMRT,SmartRent Inc.,0.33,7505294,15161000.0,2.02,
OPTU,Optimum Communications Inc.,0.27,7500000,12375000.0,1.65,
CHKEL,Chesapeake Energy Corp. WTS,0.21,95294,9496000.0,99.65,
BHC,Bausch Health,0.19,1270000,8827000.0,6.95,
MX,MagnaChip Semiconductor Corp.,0.16,2849858,7267000.0,2.55,
LILA,Liberty LiLAC Group A,0.14,839020,6200000.0,7.39,Reduce 0.88%
HDB,HDFC Bank Ltd.,0.11,130441,4766000.0,36.54,Reduce 13.73%
ALVOW,Alvotech SA  27,0.07,4666667,3033000.0,0.65,
BATL,Battalion Oil Corp.,0.07,3009912,3401000.0,1.13,Reduce 0.13%
ALVO,Alvotech SA,0.04,533656,2023000.0,3.79,Reduce 65.87%
BTAI,Bioxcel Therapeutics Inc,0.01,241188,386000.0,1.6,
KRSP.WS,Rice Acquisition Corp 3,0.01,399999,320000.0,0.8,Buy
