ticker,issuer,portfolio_pct,shares,value,reported_price,activity
GE,GE Aerospace,33.59,47428233,17725354000.0,373.73,Reduce 0.17%
V,Visa Inc.,19.83,30494133,10462232000.0,343.09,Add 0.09%
MCO,Moody's Corp.,12.3,14334027,6492168000.0,452.92,
SPGI,S&P Global Inc.,10.87,14081957,5735018000.0,407.26,Add 0.33%
CP,Canadian Pacific Kansas City,7.44,45325726,3925912000.0,86.62,Reduce 2.57%
GOOG,Alphabet Inc. CL C,6.65,9938819,3511683000.0,353.33,Add 12.25%
FER,Ferrovial Se,2.72,20940441,1434612000.0,68.51,Add 0.97%
CNI,Canadian Natl Railway Co.,2.13,9433422,1124535000.0,119.21,Reduce 4.23%
GOOGL,Alphabet Inc.,1.66,2457000,878058000.0,357.37,
MLM,Martin Marietta,1.44,1315109,758423000.0,576.7,Buy
VMC,Vulcan Materials,1.37,2447004,721891000.0,295.01,Buy
