ticker,issuer,portfolio_pct,shares,value,reported_price,activity
AMZN,Amazon.com Inc.,19.4,1940000,404044000.0,208.27,Reduce 10.39%
TDS,Telephone & Data Systems,13.34,6600000,277860000.0,42.1,Reduce 1.12%
CRH,CRH plc,9.59,1900000,199728000.0,105.12,Reduce 26.92%
SGI,Somnigroup International Inc.,8.06,2270769,167855000.0,73.92,Reduce 33.21%
CRS,Carpenter Technology,5.87,310000,122187000.0,394.15,Reduce 60.51%
MTZ,MasTec Inc.,4.94,320000,102957000.0,321.74,Reduce 65.41%
DHR,Danaher Corp.,4.78,525000,99540000.0,189.6,Reduce 12.50%
TSM,Taiwan Semiconductor S.A.,4.46,275000,92936000.0,337.95,Reduce 35.29%
APG,APi Group Corp.,3.95,2030000,82256000.0,40.52,Reduce 32.33%
LYV,Live Nation Inc.,3.4,465000,70917000.0,152.51,Reduce 73.04%
META,Meta Platforms Inc.,2.47,90000,51492000.0,572.13,Buy
GOOGL,Alphabet Inc.,2.42,175000,50323000.0,287.56,Buy
GLD,SPDR Gold Trust,1.96,95000,40878000.0,430.29,Buy
HUT,Hut 8 Corp,1.96,869563,40791000.0,46.91,Buy
NVDA,NVIDIA Corp.,1.59,190000,33136000.0,174.4,Reduce 93.56%
TDG,TransDigm Group Inc.,1.39,25000,28974000.0,1158.96,Buy
NSC,Norfolk Southern Corp.,1.38,100000,28700000.0,287.0,Reduce 89.74%
COF,Capital One Financial,1.23,140000,25540000.0,182.43,Reduce 87.27%
UNP,Union Pacific,1.16,100000,24262000.0,242.62,Reduce 94.48%
SRTA,Strata Critical Medical Inc.,1.0,5000000,20900000.0,4.18,
KLAC,KLA Corp.,0.78,110000,16197000.0,147.25,Buy
LRCX,Lam Research,0.77,75000,16025000.0,213.67,Buy
ASML,ASML Holding NV,0.76,12000,15850000.0,1320.83,Buy
AVGO,Broadcom Inc.,0.74,50000,15476000.0,309.52,Buy
SMH,Semiconductor HOLDRs,0.74,40000,15336000.0,383.4,Buy
SN,Sharkninja Inc,0.66,130509,13821000.0,105.9,Reduce 89.12%
HTZWW,Hertz Global Hldgs Inc. WTS,0.43,3970000,9052000.0,2.28,
SPRY,Ars Pharmaceuticals Inc,0.39,1000000,8030000.0,8.03,Add 79.78%
AUR,Aurora Innovation Inc.,0.2,1032463,4254000.0,4.12,
FLYX,Flyexclusive Inc,0.11,1022000,2310000.0,2.26,
CTEV,Claritev Corp.,0.03,44000,719000.0,16.34,Reduce 69.66%
AUROW,Aurora Innovation Inc. WTS,0.02,1835000,365000.0,0.2,
FLYX.WS,Eg Acquisition Corp A  WTS28,0.0,367499,88000.0,0.24,
